phase,trial,magnification,head_amp,eye_amp,gain_paired,gain_lstsq,offset_lstsq,r_squared
baseline,0,1.08,28.641548723732654,12.171169569886109,0.4249480252372304,0.9511597450819193,-11.99621468520376,0.3672917818004078
baseline,1,1.04,21.135819533821778,15.936692560375429,0.7540134668009136,0.47166720466533324,-4.731082522860875,0.5198951295804622
baseline,2,1.08,21.64332679561172,14.017362647914991,0.6476528668761344,0.3946880422740492,-5.065750693545219,0.5922321108939536
baseline,3,1.0,21.8711580625819,12.359821131888935,0.5651196473695025,0.47692736212161113,-7.020807089398158,0.7647789735579014
baseline,4,0.8,19.576788273255573,11.525376637827422,0.5887266326301632,0.5922362085962419,-1.1878510592271063,0.9361093696387993
baseline,5,1.08,23.708152533392685,20.926494200005067,0.8826708099895307,0.816394150004847,-2.3461432352387175,0.9276312924528707
baseline,6,0.95,25.080598929287646,16.91540921882768,0.6744419966412708,0.5676695337119437,-1.799894226572042,0.8545961033062281
baseline,7,1.2,18.93802482433765,13.661919391702684,0.7214014934728287,0.5659528149191437,-5.822248530524753,0.762686660882837
baseline,8,1.08,22.709475664290707,18.81696910881398,0.8285954896969523,0.7819475523521279,-0.7364807706092037,0.9165851699777487
baseline,9,1.0,22.119417510318254,16.68296343372712,0.7542225479466113,0.7585303335332981,-1.966430074717744,0.9474057270112678
baseline,10,1.04,25.034141465200307,21.960120927695336,0.8772068719920699,0.8626788726548085,-1.3506486485551403,0.9696625323216714
baseline,11,0.9,28.693771886035467,21.287846584053923,0.7418978121316347,0.6515528448662051,-1.9723382098669413,0.9558843600842563
baseline,12,0.95,22.047460935299277,17.45305709818044,0.7916130183606346,0.7555302552689986,-0.8758982747223788,0.958630697877857
baseline,13,1.12,20.274505781584814,15.161179319346385,0.7477952598537407,0.6614811798823065,-3.4192206335506885,0.7890313881783813
baseline,14,1.0,21.569634583409467,10.948388105385522,0.5075833836242456,0.5259891703903673,-5.352186499110161,0.7174033566842415
baseline,15,0.85,19.155398746793466,10.601317747455406,0.5534375915421768,0.39947343211051456,-2.8389090901217524,0.60343126582881
baseline,16,1.08,16.224871972814633,10.917341977325572,0.6728769259700772,0.6192819246426937,-2.522701317837112,0.7379823659010334
baseline,17,1.08,23.22261265018993,19.605222932755566,0.8442298559630508,0.8135475073023509,-0.8619812403420757,0.9630560795794627
baseline,18,0.8,22.184836110892157,13.575213154926796,0.6119140608959348,0.560236858834118,-0.18097569989453455,0.8711076391686569
baseline,19,1.12,22.975932055703588,19.096701468686504,0.8311611220988924,0.8393686823601284,-2.0774602499838966,0.9614900511563353
baseline,20,1.2,23.210493598025046,15.961323151245104,0.687677023490928,0.7304303675453551,-3.6921146191587333,0.9126013654437739
baseline,21,1.08,23.1105245103668,20.088582560320752,0.8692395774621869,0.8560945154407458,-0.7024483513123144,0.9810984029027529
baseline,22,1.04,27.206438262950662,20.71163557897325,0.7612769954962484,0.7621373924425052,-1.7669150437645984,0.9234045537166017
baseline,23,0.9,27.610795081394105,20.997251655078443,0.7604725468129571,0.7090050692890477,-0.6081918046019215,0.9591501778913968
baseline,24,1.12,24.64186310456126,20.605916679313175,0.8362158572132875,0.8452889914122307,-2.398283299138812,0.9451866830672857
baseline,25,1.04,26.488149548927588,21.294531485285162,0.8039267313086921,0.6041601405954773,-2.7900910828396377,0.8028119757928551
baseline,26,0.95,26.82255355661362,19.49385572105292,0.7267710615213343,0.7000978102727031,-2.6320315136784562,0.9741124474821922
baseline,27,1.0,22.859277795427936,16.999673036315265,0.7436662342725173,0.725584351632759,-0.7517103511940698,0.940470303880214
baseline,28,1.0,25.090601982965374,19.243864387257904,0.7669749972648339,0.6768992447105432,-4.047538963362266,0.8685221190099812
baseline,29,0.95,24.106627417445793,18.216355374372903,0.7556575649893629,0.7047921948966631,-2.2318758022198093,0.9304692232528728
baseline,30,1.12,25.080833604359732,20.04802015990425,0.7993362771012268,0.7116447040955359,-2.391667592075128,0.9063543860827584
baseline,31,1.04,26.878342426026556,19.214353603127698,0.7148637850718895,0.377602280418842,-14.712367703594126,0.05580492383890612
baseline,32,1.0,23.64785155440959,17.055216267719278,0.721216311277927,0.7130285855752143,-3.093683406253801,0.9228904434745595
baseline,33,0.95,23.116333503632813,18.25521429486591,0.7897106300182527,0.7332302333151387,-1.395852339172995,0.9002620274562199
baseline,34,1.12,24.521136836781977,21.270891463449615,0.8674512770363502,0.8778859612654012,-3.0881003220355634,0.4841810720637356
baseline,35,0.95,21.45412116343231,16.35252355626511,0.7622089682301847,0.583270319437185,-4.8425399945105045,0.6724400909532152
baseline,36,1.16,21.456646267075563,18.081591819756554,0.8427035425150339,0.8104113877972283,-2.314648466774805,0.964834018882985
baseline,37,0.95,21.974208177160488,14.534205467544393,0.6614211238178278,0.5878924430300575,-0.5457693979092455,0.7861368010333682
baseline,38,1.16,23.312279877139463,22.35762422598424,0.9590492368748806,0.9631361690864466,-1.0365860514249914,0.9721328290568108
baseline,39,0.9,23.527488415134684,17.948418137597713,0.7628701296502144,0.7379988560099809,0.22421771619738495,0.9728911301821115
baseline,40,0.85,23.831103371989034,11.362086726979058,0.4767755210333232,0.42081575076503863,-1.6762489227834283,0.7457561054712363
baseline,41,1.12,24.563170051006402,18.751316105791624,0.7633915356549569,0.7148329577705932,-4.047436382483379,0.9419624062122071
baseline,42,1.04,26.279051945153842,20.484915683149392,0.779515019259553,0.4864494468965593,-5.722893614403227,0.6803372226487805
baseline,43,0.9,21.67260260605148,12.384250288468746,0.5714242314861983,0.4791151060782688,0.11984920563090277,0.6331373271685362
baseline,44,1.04,22.210883578195592,17.82192834252632,0.8023961892277934,0.7058549356152045,-3.03603434379326,0.8694784761635114
baseline,45,1.04,24.716524399362708,24.91002286572794,1.0078287085691635,0.5788113575173356,-7.537717171461325,0.4560285504366155
baseline,46,1.0,22.957372870660965,15.492368203857392,0.6748319283369009,0.4801020473283919,-3.438673664320431,0.7404998408223317
baseline,47,0.9,24.47494866135567,16.166519832460924,0.660533350085706,0.5499237352447811,-3.3727876261885,0.8793358637396593
baseline,48,0.9,21.970500752010697,13.798970518185639,0.6280680933921264,0.5760577952392735,-3.162660477012565,0.6929964123004155
baseline,49,1.0,20.98353465946557,17.215327788829782,0.820420776013732,0.8075395201808981,-0.4697029792937796,0.9665647493916493
baseline,50,1.08,21.666903088035067,16.08395729241775,0.7423283903134112,0.747939434271774,-2.4091255246841685,0.9288588036420727
baseline,51,1.12,24.231863712334825,19.306243704440845,0.7967296256545602,0.7965761712141253,-2.988908894808596,0.9471980212024065
baseline,52,1.12,21.338449575855815,17.86521888857759,0.8372313473417422,0.8846093497454937,0.3563814016081555,0.9624065745021027
baseline,53,0.95,22.231703657524896,15.859606958379928,0.7133779400217866,0.7178032419905149,-1.6420821551511222,0.9602735698940272
baseline,54,0.9,23.32551849662006,15.90204557003582,0.6817445696797727,0.6370656661418823,0.6720096038717659,0.9037119855604018
baseline,55,0.9,24.271458602780587,13.418597982472235,0.5528550303497201,0.5410586361191079,-3.4286930814649046,0.7812317553919875
aftereffect,0,0.9,20.403271195198528,14.395813255441041,0.7055639812712379,0.5985470218915383,-3.6094676556888743,0.9035582737657563
aftereffect,1,1.0,18.782077700928742,15.729648945677795,0.8374818375338736,0.810434195401914,-1.7206218944765581,0.9431466133082181
