trial,timestamp,magnification,radial,response
0,440.9257,1.08,0,1
1,447.1336,1.04,0,1
2,452.2982,1.08,0,1
3,457.3113,1,0,1
4,462.0828,0.8,0,0
5,503.4668,1.08,0,1
6,508.014,0.95,0,0
7,512.441,1.2,0,0
8,517.0178,1.08,0,1
9,521.6784,1,0,1
10,563.5754,1.04,0,1
11,568.2178,0.9,0,0
12,572.7616,0.95,0,1
13,577.1598,1.12,0,1
14,581.4349,1,0,1
15,624.5478,0.85,0,0
16,629.3233,1.08,0,1
17,633.3733,1.08,0,1
18,637.3245,0.8,0,0
19,641.6403,1.12,0,1
20,681.8281,1.2,0,0
21,686.18,1.08,0,1
22,690.2911,1.04,0,1
23,694.2457,0.9,0,0
24,698.2642,1.12,0,1
25,737.7388,1.04,0,1
26,742.0182,0.95,0,0
27,746.1187,1,0,1
28,750.1756,1,0,1
29,754.3307,0.95,0,0
30,795.2612,1.12,0,1
31,799.5638,1.04,0,1
32,804.0172,1,0,1
33,809.339,0.95,0,0
34,814.3351,1.12,0,0
35,855.714,0.95,0,0
36,860.3837,1.16,0,0
37,864.6318,0.95,0,1
38,869.0002,1.16,0,0
39,873.5505,0.9,0,0
40,914.6038,0.85,0,0
41,918.9769,1.12,0,1
42,923.3109,1.04,0,1
43,927.5731,0.9,0,0
44,932.8042,1.04,0,1
45,973.6817,1.04,0,1
46,978.1334,1,0,1
47,982.7561,0.9,0,0
48,987.4403,0.9,0,0
49,992.1875,1,0,1
50,1032.931,1.08,0,1
51,1037.83,1.12,0,1
52,1042.104,1.12,0,1
53,1047.702,0.95,0,1
54,1052.378,0.9,0,0
55,1093.905,0.9,0,1
0,2402.219,0.9,0,0
1,2407.008,1,0,1
2,2413.129,1.04,0,1
3,2418.156,0.8,0,0
4,2423.254,1.08,0,1
5,2466.155,1.04,0,1
6,2472.07,0.9,0,0
7,2477.723,0.95,0,0
8,2482.512,0.85,0,0
9,2487.535,1,0,1
10,2528.157,1.04,0,1
11,2532.93,1.04,0,1
12,2538.297,0.8,0,0
13,2543.259,1.12,0,1
14,2548.569,0.9,0,0
15,2589.355,1.08,0,1
16,2594.496,1.2,0,0
17,2599.505,0.9,0,0
18,2604.148,1.04,0,1
19,2608.801,1.16,0,0
20,2651.404,1,0,1
21,2656.244,1,0,1
22,2661.034,1,0,1
23,2666.018,1.2,0,0
24,2670.938,1,0,1
25,2712.905,1.08,0,1
26,2717.755,1,0,1
27,2722.403,1.12,0,0
28,2726.903,0.95,0,0
29,2731.677,1.04,0,1
30,2772.981,0.95,0,1
31,2778.158,1.08,0,0
32,2782.755,0.95,0,0
33,2787.118,0.95,0,0
34,2792.129,0.85,0,0
35,2833.911,1.12,0,1
36,2839.293,1.04,0,1
37,2844.062,0.9,0,0
38,2849.037,1.08,0,1
39,2853.768,1.12,0,0
40,2893.872,1.04,0,1
41,2898.515,1.12,0,1
42,2903.522,0.9,0,0
43,2907.923,1.08,0,1
44,2913.218,0.95,0,0
45,2953.548,1.12,0,1
46,2958.455,1.08,0,1
47,2963.497,0.9,0,0
48,2967.985,1.12,0,1
49,2973.182,1.08,0,1
50,3013.755,1.12,0,1
51,3018.436,0.95,0,0
52,3022.98,0.95,0,0
53,3027.209,1,0,1
54,3032.813,1.16,0,0
55,3073.621,0.9,0,0
