unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
428.2123000000,2948907,0.2090948000,1.2815960000,0.2542818000,-0.0678863200,-0.1135956000,0.0319611100,0.9906896000,0.2090948000,1.2815960000,0.2542818000,-0.0678863200,-0.1135956000,0.0319611100,0.9906896000,0.2090948000,1.2815960000,0.2542818000,-0.0678863200,-0.1135956000,0.0319611100,0.9906896000,,
428.2306000000,2948907,0.2207940000,1.2866050000,0.2382300000,-0.1011504000,-0.1735218000,0.0406614600,0.9787775000,0.2207940000,1.2866050000,0.2382300000,-0.1011504000,-0.1735218000,0.0406614600,0.9787775000,0.2207940000,1.2866050000,0.2382300000,-0.1011504000,-0.1735218000,0.0406614600,0.9787775000,,
428.2449000000,2948907,0.2217450000,1.2855890000,0.2385955000,-0.0967564000,-0.1705503000,0.0410237700,0.9797285000,0.2217450000,1.2855890000,0.2385955000,-0.0967564000,-0.1705503000,0.0410237700,0.9797285000,0.2217450000,1.2855890000,0.2385955000,-0.0967564000,-0.1705503000,0.0410237700,0.9797285000,,
428.2745000000,2948974,0.2219222000,1.2845190000,0.2391016000,-0.0922318800,-0.1695425000,0.0405488500,0.9803593000,0.2219222000,1.2845190000,0.2391016000,-0.0922318800,-0.1695425000,0.0405488500,0.9803593000,0.2219222000,1.2845190000,0.2391016000,-0.0922318800,-0.1695425000,0.0405488500,0.9803593000,,
428.2841000000,2948974,0.2308080000,1.2845490000,0.2297461000,-0.0996171500,-0.2077014000,0.0460547300,0.9720162000,0.2308080000,1.2845490000,0.2297461000,-0.0996171500,-0.2077014000,0.0460547300,0.9720162000,0.2308080000,1.2845490000,0.2297461000,-0.0996171500,-0.2077014000,0.0460547300,0.9720162000,,
428.3001000000,2949074,0.2287240000,1.2839390000,0.2318969000,-0.0962905100,-0.2025974000,0.0447834300,0.9734870000,0.2287240000,1.2839390000,0.2318969000,-0.0962905100,-0.2025974000,0.0447834300,0.9734870000,0.2287240000,1.2839390000,0.2318969000,-0.0962905100,-0.2025974000,0.0447834300,0.9734870000,,
428.3062000000,2949074,0.2302408000,1.2835510000,0.2301614000,-0.0967801800,-0.2118390000,0.0460628700,0.9714093000,0.2302408000,1.2835510000,0.2301614000,-0.0967801800,-0.2118390000,0.0460628700,0.9714093000,0.2302408000,1.2835510000,0.2301614000,-0.0967801800,-0.2118390000,0.0460628700,0.9714093000,,
428.3174000000,2949074,0.2316146000,1.2830430000,0.2286694000,-0.0963729200,-0.2228362000,0.0477986800,0.9689023000,0.2316146000,1.2830430000,0.2286694000,-0.0963729200,-0.2228362000,0.0477986800,0.9689023000,0.2316146000,1.2830430000,0.2286694000,-0.0963729200,-0.2228362000,0.0477986800,0.9689023000,,
428.3286000000,2949099,0.2329807000,1.2824410000,0.2271676000,-0.0958549200,-0.2336322000,0.0498462900,0.9663039000,0.2329807000,1.2824410000,0.2271676000,-0.0958549200,-0.2336322000,0.0498462900,0.9663039000,0.2329807000,1.2824410000,0.2271676000,-0.0958549200,-0.2336322000,0.0498462900,0.9663039000,,
428.3404000000,2949099,0.2343559000,1.2816350000,0.2257690000,-0.0944194100,-0.2449433000,0.0519283600,0.9635306000,0.2343559000,1.2816350000,0.2257690000,-0.0944194100,-0.2449433000,0.0519283600,0.9635306000,0.2343559000,1.2816350000,0.2257690000,-0.0944194100,-0.2449433000,0.0519283600,0.9635306000,,
