unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
8.62539,4293835,True,1.0000000000,4.2166750000,-0.0324861800,0.0008571473,-0.0322565000,0.1816881000,-0.1213543000,0.9758394000,True,1.0000000000,4.4392400000,0.0340182000,0.0005206452,-0.0331113000,0.0290836000,-0.0864573300,0.9958310000,-0.0299728600,0.0008444367,-0.0322888000,0.1759981000,-0.1200889000,0.9770380000,0.0000000000,
8.62539,4293843,True,1.0000000000,4.2308040000,-0.0326093800,0.0011650090,-0.0326418900,0.1291212000,-0.0683905700,0.9892676000,True,1.0000000000,4.4187470000,0.0338486700,0.0007249756,-0.0330784200,-0.0047455100,-0.0227052000,0.9997309000,-0.0319827100,0.0011608730,-0.0326460000,0.1278691000,-0.0679628900,0.9894597000,0.0000000000,
8.62539,4293868,True,1.0000000000,4.2811580000,-0.0329205000,0.0014949190,-0.0320827000,0.0977639300,0.0449222700,0.9941952000,True,1.0000000000,4.4860380000,0.0334184300,0.0014378810,-0.0335078600,-0.0937208300,0.1009994000,0.9904623000,-0.0327489000,0.0014947660,-0.0320863800,0.0972601300,0.0450594900,0.9942384000,0.0000000000,
8.62539,4293885,True,1.0000000000,4.2653350000,-0.0329794000,0.0015953220,-0.0324146300,0.1004500000,0.0446325700,0.9939405000,True,1.0000000000,4.4166870000,0.0334138900,0.0017791750,-0.0344023100,-0.0944216700,0.0776979800,0.9924957000,-0.0326897900,0.0015961300,-0.0324233000,0.0996108600,0.0447852100,0.9940181000,0.0000000000,
8.643058,4293918,True,1.0000000000,4.2852020000,-0.0330593100,0.0013897550,-0.0320416900,0.1018984000,0.0372467900,0.9940973000,True,1.0000000000,4.3792880000,0.0334730600,0.0013280640,-0.0332896200,-0.0959323600,0.1003727000,0.9903142000,-0.0330044700,0.0013897100,-0.0320427300,0.1017457000,0.0373077600,0.9941106000,0.0000000000,
8.643058,4293943,True,1.0000000000,4.2741240000,-0.0330581700,0.0013368680,-0.0318879600,0.1024643000,0.0401312300,0.9939268000,True,1.0000000000,4.4029850000,0.0335314800,0.0014132540,-0.0336121400,-0.0879986500,0.0914777100,0.9919113000,-0.0329543900,0.0013369900,-0.0318906400,0.1021740000,0.0402226000,0.9939530000,0.0000000000,
8.643058,4293960,True,1.0000000000,4.2835080000,-0.0330450200,0.0013557740,-0.0318942100,0.1066134000,0.0378876600,0.9935784000,True,1.0000000000,4.3359830000,0.0335953400,0.0014957890,-0.0338516600,-0.0948803100,0.0834360700,0.9919859000,-0.0328318000,0.0013562160,-0.0319004700,0.1059728000,0.0380250800,0.9936417000,0.0000000000,
8.675607,4293968,True,1.0000000000,4.2214810000,-0.0330380100,0.0013695070,-0.0319184600,0.1012424000,0.0381776300,0.9941290000,True,1.0000000000,4.3849640000,0.0336142300,0.0014603420,-0.0337720200,-0.1021432000,0.0845039300,0.9911740000,-0.0324932700,0.0013702390,-0.0319336100,0.0996095000,0.0385590100,0.9942792000,0.0000000000,
8.684264,4293976,True,1.0000000000,4.2551730000,-0.0330305700,0.0013600160,-0.0318939700,0.1090105000,0.0394903600,0.9932559000,True,1.0000000000,4.4030300000,0.0336309500,0.0012592930,-0.0332380500,-0.0932630000,0.0987104600,0.9907362000,-0.0322847800,0.0013588870,-0.0319090200,0.1067661000,0.0401612700,0.9934728000,0.0000000000,
8.695119,4294001,True,1.0000000000,4.2214510000,-0.0330182400,0.0013572080,-0.0319038300,0.1032414000,0.0452577700,0.9936262000,True,1.0000000000,4.3407440000,0.0336647000,0.0015068970,-0.0339868900,-0.1041578000,0.0776071500,0.9915283000,-0.0320981300,0.0013592680,-0.0319325600,0.1004043000,0.0457160100,0.9938958000,0.0000000000,
8.706161,4294010,True,1.0000000000,4.2702030000,-0.0330184800,0.0013437040,-0.0318620300,0.1050115000,0.0390779500,0.9937029000,True,1.0000000000,4.3260650000,0.0336699200,0.0015277560,-0.0340412800,-0.0988478400,0.0761271900,0.9921864000,-0.0322043000,0.0013459470,-0.0318886400,0.1025407000,0.0395361500,0.9939428000,0.0000000000,
8.706161,4294018,True,1.0000000000,4.2229460000,-0.0330205700,0.0013365170,-0.0318370700,0.1044467000,0.0398560700,0.9937316000,True,1.0000000000,4.3905030000,0.0336727500,0.0015102690,-0.0339688600,-0.1008922000,0.0782326500,0.9918168000,-0.0326115400,0.0013375860,-0.0318501400,0.1031954000,0.0400849400,0.9938531000,0.0000000000,
8.718098,4294026,True,1.0000000000,4.2338100000,-0.0330226600,0.0013293910,-0.0318135500,0.1059119000,0.0389406700,0.9936127000,True,1.0000000000,4.3364560000,0.0336552000,0.0013277280,-0.0334802600,-0.0874033000,0.0888986800,0.9921984000,-0.0327585200,0.0013293910,-0.0318201400,0.1051487000,0.0391389200,0.9936860000,0.0000000000,
8.728786,4294035,True,1.0000000000,4.2038120000,-0.0330238800,0.0013293610,-0.0318128200,0.1062326000,0.0375827400,0.9936308000,True,1.0000000000,4.3364870000,0.0336659400,0.0014133910,-0.0337175800,-0.0942397900,0.0819257500,0.9921729000,-0.0327634100,0.0013296810,-0.0318202700,0.1054544000,0.0377658300,0.9937068000,0.0000000000,
8.728786,4294043,True,1.0000000000,4.2079770000,-0.0330251000,0.0013293150,-0.0318121100,0.1067509000,0.0386659100,0.9935337000,True,1.0000000000,4.4040990000,0.0336616700,0.0013516540,-0.0335609100,-0.0880893900,0.0807651400,0.9928329000,-0.0324159900,0.0013295290,-0.0318280600,0.1049814000,0.0390476000,0.9937073000,0.0000000000,
8.739837,4294051,True,1.0000000000,4.2153630000,-0.0330268000,0.0013236540,-0.0317925900,0.1071029000,0.0382085400,0.9935135000,True,1.0000000000,4.3679810000,0.0336709600,0.0013392640,-0.0335301100,-0.0880441800,0.0840463300,0.9925646000,-0.0325275100,0.0013237760,-0.0318055900,0.1056522000,0.0385590800,0.9936553000,0.0000000000,
8.739837,4294060,True,1.0000000000,4.2227940000,-0.0330251000,0.0013179930,-0.0317730700,0.1068737000,0.0377506300,0.9935557000,True,1.0000000000,4.3077240000,0.0336806700,0.0013368530,-0.0335564000,-0.0849307800,0.0860446700,0.9926646000,-0.0325438400,0.0013181310,-0.0317859400,0.1054999000,0.0381014300,0.9936891000,0.0000000000,
8.751819,4294068,True,1.0000000000,4.2059480000,-0.0330183400,0.0012750700,-0.0316812500,0.1101087000,0.0380558600,0.9931908000,True,1.0000000000,4.3891450000,0.0337170000,0.0014473270,-0.0339097300,-0.1025858000,0.0789496900,0.9915861000,-0.0326907100,0.0012759090,-0.0316921800,0.1090711000,0.0382542300,0.9932976000,0.0000000000,
8.761634,4294076,True,1.0000000000,4.2434080000,-0.0330109000,0.0012549440,-0.0316521200,0.1033938000,0.0421753800,0.9937459000,True,1.0000000000,4.3998260000,0.0337237600,0.0014311070,-0.0339011100,-0.1045847000,0.0726172700,0.9918613000,-0.0319697000,0.0012576900,-0.0316872100,0.1001745000,0.0426638200,0.9940547000,0.0000000000,
8.761634,4294085,True,1.0000000000,4.2111820000,-0.0330170000,0.0011846470,-0.0314527300,0.1105502000,0.0397492600,0.9930754000,True,1.0000000000,4.3770600000,0.0337269600,0.0014351810,-0.0339130900,-0.1038821000,0.0692598500,0.9921752000,-0.0297708000,0.0011968380,-0.0315723900,0.1002213000,0.0412299000,0.9941105000,0.0000000000,
8.772775,4294093,True,1.0000000000,4.2723080000,-0.0330118900,0.0011697390,-0.0314305400,0.1090245000,0.0397340600,0.9932446000,True,1.0000000000,4.3878330000,0.0337176100,0.0012802890,-0.0335250300,-0.0899671200,0.0735636800,0.9932241000,-0.0227032500,0.0011868130,-0.0317541100,0.0784923400,0.0450903700,0.9958945000,0.0000000000,
8.772775,4294101,True,1.0000000000,4.2352290000,-0.0330040600,0.0011846920,-0.0315052200,0.1033641000,0.0402073300,0.9938306000,True,1.0000000000,4.4071960000,0.0337207400,0.0013087160,-0.0336279500,-0.0838479300,0.0814522700,0.9931440000,-0.0099548490,0.0012275390,-0.0322384800,0.0388491000,0.0546878200,0.9977475000,0.0000000000,
8.784112,4294110,True,1.0000000000,4.2630460000,-0.0330096900,0.0011397860,-0.0313927800,0.1081255000,0.0418555100,0.9932557000,True,1.0000000000,4.4025270000,0.0337202800,0.0013097540,-0.0336631600,-0.0920424800,0.0726177400,0.9931036000,0.0066504210,0.0012407990,-0.0327421600,-0.0108948200,0.0604403400,0.9981124000,0.0000000000,
8.794907,4294118,True,1.0000000000,4.2018890000,-0.0330120500,0.0011267240,-0.0313855700,0.1130383000,0.0340579800,0.9930068000,True,1.0000000000,4.3880160000,0.0337197000,0.0013164670,-0.0337061500,-0.0900881300,0.0695497400,0.9935024000,0.0103896000,0.0012501220,-0.0328948500,-0.0191652800,0.0574195400,0.9981662000,0.0000000000,
8.806021,4294126,True,1.0000000000,4.1819150000,-0.0330112500,0.0011320040,-0.0314366600,0.1049970000,0.0365299700,0.9938014000,True,1.0000000000,4.3551640000,0.0337180300,0.0013227690,-0.0337336400,-0.0920261600,0.0687258900,0.9933821000,0.0071508180,0.0012468110,-0.0328191400,-0.0136414400,0.0561831900,0.9983273000,0.0000000000,
