unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
203.9415000000,196758,0.0274868000,1.3321210000,-0.0352563900,-0.0520664000,-0.0298793000,-0.0311612200,0.9977100000,0.0274868000,1.3321210000,-0.0352563900,-0.0520664000,-0.0298793000,-0.0311612200,0.9977100000,0.0274868000,1.3321210000,-0.0352563900,-0.0520664000,-0.0298793000,-0.0311612200,0.9977100000,
203.9528000000,196783,0.0274756000,1.3318970000,-0.0352258700,-0.0511340400,-0.0289748800,-0.0308176700,0.9977956000,0.0274756000,1.3318970000,-0.0352258700,-0.0511340400,-0.0289748800,-0.0308176700,0.9977956000,0.0274756000,1.3318970000,-0.0352258700,-0.0511340400,-0.0289748800,-0.0308176700,0.9977956000,
203.9640000000,196791,0.0274887100,1.3316680000,-0.0351085700,-0.0501382100,-0.0279239000,-0.0306171700,0.9978823000,0.0274887100,1.3316680000,-0.0351085700,-0.0501382100,-0.0279239000,-0.0306171700,0.9978823000,0.0274887100,1.3316680000,-0.0351085700,-0.0501382100,-0.0279239000,-0.0306171700,0.9978823000,
203.9748000000,196791,0.0275025400,1.3315620000,-0.0349755300,-0.0493526900,-0.0269757900,-0.0303671200,0.9979551000,0.0275025400,1.3315620000,-0.0349755300,-0.0493526900,-0.0269757900,-0.0303671200,0.9979551000,0.0275025400,1.3315620000,-0.0349755300,-0.0493526900,-0.0269757900,-0.0303671200,0.9979551000,
203.9862000000,196816,0.0275640500,1.3313770000,-0.0347869400,-0.0484614400,-0.0259798400,-0.0301303000,0.9980325000,0.0275640500,1.3313770000,-0.0347869400,-0.0484614400,-0.0259798400,-0.0301303000,0.9980325000,0.0275640500,1.3313770000,-0.0347869400,-0.0484614400,-0.0259798400,-0.0301303000,0.9980325000,
203.9975000000,196849,0.0276830200,1.3312290000,-0.0346341100,-0.0475525000,-0.0250305100,-0.0299977300,0.9981044000,0.0276830200,1.3312290000,-0.0346341100,-0.0475525000,-0.0250305100,-0.0299977300,0.9981044000,0.0276830200,1.3312290000,-0.0346341100,-0.0475525000,-0.0250305100,-0.0299977300,0.9981044000,
204.0134000000,196866,0.0277776700,1.3309700000,-0.0344717500,-0.0466581200,-0.0240287100,-0.0301013800,0.9981681000,0.0277776700,1.3309700000,-0.0344717500,-0.0466581200,-0.0240287100,-0.0301013800,0.9981681000,0.0277776700,1.3309700000,-0.0344717500,-0.0466581200,-0.0240287100,-0.0301013800,0.9981681000,
204.0193000000,196874,0.0278582600,1.3308120000,-0.0343174900,-0.0457588000,-0.0231603200,-0.0300956600,0.9982305000,0.0278582600,1.3308120000,-0.0343174900,-0.0457588000,-0.0231603200,-0.0300956600,0.9982305000,0.0278582600,1.3308120000,-0.0343174900,-0.0457588000,-0.0231603200,-0.0300956600,0.9982305000,
204.0304000000,196883,0.0279860500,1.3305220000,-0.0341422600,-0.0447815100,-0.0221205300,-0.0302311100,0.9982942000,0.0279860500,1.3305220000,-0.0341422600,-0.0447815100,-0.0221205300,-0.0302311100,0.9982942000,0.0279860500,1.3305220000,-0.0341422600,-0.0447815100,-0.0221205300,-0.0302311100,0.9982942000,
204.0419000000,196891,0.0281453100,1.3302630000,-0.0340127900,-0.0435575200,-0.0210861200,-0.0304017000,0.9983656000,0.0281453100,1.3302630000,-0.0340127900,-0.0435575200,-0.0210861200,-0.0304017000,0.9983656000,0.0281453100,1.3302630000,-0.0340127900,-0.0435575200,-0.0210861200,-0.0304017000,0.9983656000,
204.0526000000,196899,0.0283362900,1.3299740000,-0.0338940600,-0.0421685800,-0.0199085000,-0.0304087800,0.9984492000,0.0283362900,1.3299740000,-0.0338940600,-0.0421685800,-0.0199085000,-0.0304087800,0.9984492000,0.0283362900,1.3299740000,-0.0338940600,-0.0421685800,-0.0199085000,-0.0304087800,0.9984492000,
204.0639000000,196908,0.0285618300,1.3296320000,-0.0337274100,-0.0406309100,-0.0188349800,-0.0304102700,0.9985337000,0.0285618300,1.3296320000,-0.0337274100,-0.0406309100,-0.0188349800,-0.0304102700,0.9985337000,0.0285618300,1.3296320000,-0.0337274100,-0.0406309100,-0.0188349800,-0.0304102700,0.9985337000,
204.0749000000,196924,0.0287718800,1.3292550000,-0.0336172600,-0.0390805600,-0.0177883600,-0.0304142100,0.9986147000,0.0287718800,1.3292550000,-0.0336172600,-0.0390805600,-0.0177883600,-0.0304142100,0.9986147000,0.0287718800,1.3292550000,-0.0336172600,-0.0390805600,-0.0177883600,-0.0304142100,0.9986147000,
204.0917000000,196941,0.0290553600,1.3288710000,-0.0334453600,-0.0372976700,-0.0167010400,-0.0303114300,0.9987048000,0.0290553600,1.3288710000,-0.0334453600,-0.0372976700,-0.0167010400,-0.0303114300,0.9987048000,0.0290553600,1.3288710000,-0.0334453600,-0.0372976700,-0.0167010400,-0.0303114300,0.9987048000,
204.0970000000,196941,0.0292534800,1.3285830000,-0.0332953900,-0.0357733600,-0.0157746700,-0.0302002200,0.9987789000,0.0292534800,1.3285830000,-0.0332953900,-0.0357733600,-0.0157746700,-0.0302002200,0.9987789000,0.0292534800,1.3285830000,-0.0332953900,-0.0357733600,-0.0157746700,-0.0302002200,0.9987789000,
204.1081000000,196949,0.0295448300,1.3281890000,-0.0330762900,-0.0341618200,-0.0147179200,-0.0301157100,0.9988540000,0.0295448300,1.3281890000,-0.0330762900,-0.0341618200,-0.0147179200,-0.0301157100,0.9988540000,0.0295448300,1.3281890000,-0.0330762900,-0.0341618200,-0.0147179200,-0.0301157100,0.9988540000,
204.1192000000,196966,0.0297918300,1.3278290000,-0.0329318000,-0.0325031800,-0.0136953700,-0.0300244500,0.9989267000,0.0297918300,1.3278290000,-0.0329318000,-0.0325031800,-0.0136953700,-0.0300244500,0.9989267000,0.0297918300,1.3278290000,-0.0329318000,-0.0325031800,-0.0136953700,-0.0300244500,0.9989267000,
204.1307000000,196991,0.0300357300,1.3274710000,-0.0326750300,-0.0310017200,-0.0125226200,-0.0300604800,0.9989887000,0.0300357300,1.3274710000,-0.0326750300,-0.0310017200,-0.0125226200,-0.0300604800,0.9989887000,0.0300357300,1.3274710000,-0.0326750300,-0.0310017200,-0.0125226200,-0.0300604800,0.9989887000,
204.1413000000,196999,0.0302870300,1.3271520000,-0.0324552100,-0.0297634100,-0.0113259800,-0.0300411800,0.9990413000,0.0302870300,1.3271520000,-0.0324552100,-0.0297634100,-0.0113259800,-0.0300411800,0.9990413000,0.0302870300,1.3271520000,-0.0324552100,-0.0297634100,-0.0113259800,-0.0300411800,0.9990413000,
204.1528000000,197008,0.0305717000,1.3269190000,-0.0323135900,-0.0289830200,-0.0100585600,-0.0299410400,0.9990808000,0.0305717000,1.3269190000,-0.0323135900,-0.0289830200,-0.0100585600,-0.0299410400,0.9990808000,0.0305717000,1.3269190000,-0.0323135900,-0.0289830200,-0.0100585600,-0.0299410400,0.9990808000,
204.1678000000,197024,0.0308747300,1.3267840000,-0.0321693400,-0.0286291900,-0.0089647260,-0.0299022700,0.9991025000,0.0308747300,1.3267840000,-0.0321693400,-0.0286291900,-0.0089647260,-0.0299022700,0.9991025000,0.0308747300,1.3267840000,-0.0321693400,-0.0286291900,-0.0089647260,-0.0299022700,0.9991025000,
204.1748000000,197033,0.0311353200,1.3266560000,-0.0320715900,-0.0281314800,-0.0080691390,-0.0299211100,0.9991238000,0.0311353200,1.3266560000,-0.0320715900,-0.0281314800,-0.0080691390,-0.0299211100,0.9991238000,0.0311353200,1.3266560000,-0.0320715900,-0.0281314800,-0.0080691390,-0.0299211100,0.9991238000,
204.1859000000,197041,0.0314383500,1.3266050000,-0.0319650200,-0.0278821400,-0.0074791470,-0.0299709300,0.9991338000,0.0314383500,1.3266050000,-0.0319650200,-0.0278821400,-0.0074791470,-0.0299709300,0.9991338000,0.0314383500,1.3266050000,-0.0319650200,-0.0278821400,-0.0074791470,-0.0299709300,0.9991338000,
204.1970000000,197049,0.0316648500,1.3265540000,-0.0318937300,-0.0278582300,-0.0071230160,-0.0301113400,0.9991329000,0.0316648500,1.3265540000,-0.0318937300,-0.0278582300,-0.0071230160,-0.0301113400,0.9991329000,0.0316648500,1.3265540000,-0.0318937300,-0.0278582300,-0.0071230160,-0.0301113400,0.9991329000,
