unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
38.69727,28969,True,1.0000000000,3.9866940000,-0.0319167500,0.0013733670,-0.0296749100,0.1707937000,-0.0247042700,0.9849971000,True,1.0000000000,4.1349950000,0.0348106000,0.0011454620,-0.0319804800,-0.0547644100,0.0233614700,0.9982260000,0.0347430900,0.0011456910,-0.0319781500,-0.0545354300,0.0233156500,0.9982396000,0.0000000000,
38.71645,29027,True,1.0000000000,3.9699860000,-0.0319420500,0.0013902890,-0.0296717400,0.1743328000,-0.0274049700,0.9843053000,True,1.0000000000,4.1551970000,0.0347900100,0.0010680690,-0.0315597400,-0.0511024100,0.0243381200,0.9983968000,0.0347316700,0.0010683590,-0.0315580900,-0.0509038400,0.0242922400,0.9984081000,0.0000000000,
38.72731,29044,True,1.0000000000,3.9663850000,-0.0319652700,0.0013632810,-0.0296463500,0.1706710000,-0.0238496900,0.9850394000,True,1.0000000000,4.1078030000,0.0347724300,0.0010068820,-0.0313790000,-0.0519110700,0.0290988900,0.9982277000,0.0346325600,0.0010076290,-0.0313753700,-0.0514379000,0.0289919900,0.9982553000,0.0000000000,
38.72731,29069,True,1.0000000000,4.0201260000,-0.0319957600,0.0013217320,-0.0295632300,0.1701984000,-0.0233462000,0.9851332000,True,1.0000000000,4.1738430000,0.0347473300,0.0010364690,-0.0314766400,-0.0429691700,0.0197755800,0.9988807000,0.0342577700,0.0010385590,-0.0314626000,-0.0414125800,0.0194550600,0.9989527000,0.0000000000,
38.73942,29077,True,1.0000000000,3.9586330000,-0.0320090800,0.0013093720,-0.0295060600,0.1644298000,-0.0242616300,0.9860904000,True,1.0000000000,4.0664060000,0.0347380700,0.0010536190,-0.0315231900,-0.0399328700,0.0232395000,0.9989321000,0.0333121200,0.0010590820,-0.0314801000,-0.0355836500,0.0222321500,0.9991194000,0.0000000000,
38.74934,29086,True,1.0000000000,3.8950040000,-0.0320249900,0.0012980040,-0.0294632700,0.1701060000,-0.0235749700,0.9851438000,True,1.0000000000,4.1003880000,0.0347278900,0.0010738530,-0.0315726600,-0.0454103500,0.0166626700,0.9988294000,0.0318341900,0.0010835720,-0.0314812200,-0.0361180600,0.0149385600,0.9992359000,0.0000000000,
38.74934,29094,True,1.0000000000,3.9335330000,-0.0320428800,0.0012972570,-0.0294513900,0.1663067000,-0.0238496500,0.9857856000,True,1.0000000000,4.1309360000,0.0347143900,0.0010886380,-0.0316091800,-0.0473786000,0.0149383700,0.9987653000,0.0307714400,0.0011009520,-0.0314817400,-0.0347900800,0.0126495500,0.9993146000,0.0000000000,
38.76028,29102,True,1.0000000000,3.9825740000,-0.0320566000,0.0013205720,-0.0295208900,0.1705330000,-0.0272675800,0.9849746000,True,1.0000000000,4.1187440000,0.0347013400,0.0011187130,-0.0316933500,-0.0366058600,0.0146484500,0.9992224000,-0.0194118500,0.0012823330,-0.0299323700,0.1317451000,-0.0193940200,0.9910939000,0.0000000000,
38.77136,29111,True,1.0000000000,3.9071810000,-0.0320705400,0.0013318790,-0.0295558800,0.1719991000,-0.0312808900,0.9846003000,True,1.0000000000,4.1492460000,0.0346889300,0.0011491850,-0.0317969200,-0.0437167800,0.0121155800,0.9989705000,-0.0258946800,0.0013149720,-0.0297631800,0.1523444000,-0.0273133600,0.9879500000,0.0000000000,
38.78265,29119,True,1.0000000000,3.9441530000,-0.0320833900,0.0013426210,-0.0295971700,0.1660774000,-0.0303498600,0.9856456000,True,1.0000000000,4.1179660000,0.0346768600,0.0011736760,-0.0318808600,-0.0445863500,0.0151978100,0.9988899000,-0.0270927100,0.0013299870,-0.0297678800,0.1505752000,-0.0269930600,0.9882300000,0.0000000000,
38.79376,29127,True,1.0000000000,3.8502500000,-0.0321040000,0.0013242340,-0.0295518200,0.1690988000,-0.0289613300,0.9851735000,True,1.0000000000,4.1114650000,0.0346628900,0.0011937410,-0.0319529100,-0.0406345400,0.0028229020,0.9991701000,-0.0278467000,0.0013159030,-0.0297049300,0.1559302000,-0.0269623800,0.9874000000,0.0000000000,
38.79376,29136,True,1.0000000000,3.9372250000,-0.0321209700,0.0013093570,-0.0295279400,0.1734023000,-0.0236970900,0.9845660000,True,1.0000000000,4.1428830000,0.0346447200,0.0011824040,-0.0318990900,-0.0358278000,0.0070190760,0.9993333000,-0.0300080400,0.0013053280,-0.0296029800,0.1668873000,-0.0227358600,0.9857138000,0.0000000000,
38.8173,29144,True,1.0000000000,3.9073490000,-0.0321426900,0.0012884060,-0.0294897000,0.1750052000,-0.0237734900,0.9842805000,True,1.0000000000,4.1487580000,0.0346234100,0.0011396790,-0.0317420200,-0.0337525800,0.0065002710,0.9994091000,-0.0280821200,0.0012793730,-0.0296267000,0.1625082000,-0.0219576800,0.9864628000,0.0000000000,
38.82668,29152,True,1.0000000000,3.9551850000,-0.0321668900,0.0012742460,-0.0294755300,0.1772925000,-0.0277100600,0.9837680000,True,1.0000000000,4.1150510000,0.0346062500,0.0012231290,-0.0319811400,-0.0330663000,0.0081178010,0.9994202000,-0.0277615200,0.0012708740,-0.0296408300,0.1636532000,-0.0253757800,0.9861915000,0.0000000000,
38.83795,29177,True,1.0000000000,3.9190980000,-0.0322885400,0.0012109380,-0.0293749900,0.1918364000,-0.0267032900,0.9810635000,True,1.0000000000,4.0808560000,0.0345215500,0.0012814030,-0.0320547500,-0.0294494800,0.0040740990,0.9995580000,-0.0264577000,0.0012170870,-0.0296088600,0.1728697000,-0.0240635100,0.9846507000,0.0000000000,
