eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
1446113,1,0.7207621000,3.9340670000,-0.0349573100,0.0015554810,-0.0194026700,-0.5272414000,0.1681685000,0.8329080000,1,0.7207621000,3.6043850000,0.0290777600,0.0003245239,-0.0213464800,-0.3752330000,0.1790944000,0.9094643000,0.0290777600,0.0003245239,-0.0213464800,-0.3752330000,0.1790944000,0.9094643000,0.0000000000,
1446122,1,0.7825616000,3.7234340000,-0.0350077200,0.0014981230,-0.0194498900,-0.5400751000,0.1678942000,0.8247002000,1,0.7825616000,3.5951690000,0.0289879000,0.0002774048,-0.0213852200,-0.3851516000,0.1715718000,0.9067642000,0.0282678200,0.0002911377,-0.0213634500,-0.3869518000,0.1715564000,0.9060004000,0.0000000000,
1446130,1,0.7825616000,3.7303620000,-0.0350408800,0.0014597320,-0.0194752200,-0.5571331000,0.1553051000,0.8157715000,1,0.7825616000,3.5661010000,0.0289421900,0.0002184906,-0.0214180900,-0.3906444000,0.1776447000,0.9032382000,0.0254044000,0.0002871094,-0.0213106600,-0.4002164000,0.1765634000,0.8992509000,0.0000000000,
1446138,1,1.0000000000,3.8277740000,-0.0350009200,0.0014008030,-0.0194468100,-0.5386262000,0.1703511000,0.8251438000,1,1.0000000000,3.7335970000,0.0290980400,0.0001984863,-0.0213828100,-0.3974345000,0.1778430000,0.9002320000,0.0206300400,0.0003573151,-0.0211270500,-0.4167046000,0.1771098000,0.8916218000,0.0000000000,
1446147,1,1.0000000000,3.9743650000,-0.0348227200,0.0014498440,-0.0193399400,-0.5176464000,0.1596244000,0.8405726000,1,1.0000000000,3.4270320000,0.0293532300,0.0002201691,-0.0212818300,-0.3575039000,0.1731290000,0.9177240000,0.0089893650,0.0006103516,-0.0206656300,-0.4097364000,0.1694214000,0.8963327000,0.0000000000,
1446155,1,1.0000000000,3.7502440000,-0.0347673500,0.0014278110,-0.0192507800,-0.4543379000,0.1696500000,0.8745261000,1,1.0000000000,3.6618350000,0.0295382700,0.0002683869,-0.0212115000,-0.3266190000,0.1674523000,0.9302042000,0.0019635470,0.0007655487,-0.0203707300,-0.3822992000,0.1687951000,0.9084908000,0.0000000000,
1446163,1,1.0000000000,3.7860720000,-0.0345658600,0.0015020750,-0.0191808500,-0.4398397000,0.1647358000,0.8828381000,1,1.0000000000,3.4061580000,0.0297310800,0.0002628326,-0.0211337100,-0.2839676000,0.1855479000,0.9407095000,-0.0084643870,0.0009990082,-0.0199736200,-0.3778408000,0.1737836000,0.9094149000,0.0000000000,
1446172,1,1.0000000000,3.7592160000,-0.0343560200,0.0015558320,-0.0191103500,-0.4067132000,0.1714653000,0.8973204000,1,1.0000000000,3.5305330000,0.0300618600,0.0003052216,-0.0210718400,-0.2768744000,0.1893793000,0.9420595000,-0.0076262670,0.0010368960,-0.0199242600,-0.3536580000,0.1793086000,0.9180275000,0.0000000000,
1446180,1,1.0000000000,3.7037810000,-0.0341585900,0.0015663450,-0.0190295400,-0.3811394000,0.1743646000,0.9079260000,1,1.0000000000,3.4706570000,0.0302054600,0.0003647461,-0.0210589200,-0.2358104000,0.1805275000,0.9548839000,0.0073420870,0.0007915802,-0.0203380400,-0.2882090000,0.1788184000,0.9407229000,0.0000000000,
1446188,1,1.0000000000,3.6075290000,-0.0339858100,0.0015649260,-0.0189633900,-0.3426864000,0.1784539000,0.9223450000,1,1.0000000000,3.4335330000,0.0304160900,0.0003525848,-0.0210524500,-0.1983353000,0.1981674000,0.9598921000,0.0119899600,0.0006994476,-0.0204547400,-0.2401912000,0.1929800000,0.9513500000,0.0000000000,
1446197,1,1.0000000000,3.7339170000,-0.0337035200,0.0015375980,-0.0188897400,-0.3362002000,0.1895923000,0.9225097000,1,1.0000000000,3.3868100000,0.0306391900,0.0003575134,-0.0210878600,-0.1771421000,0.1941560000,0.9648440000,0.0199240400,0.0005540314,-0.0207218000,-0.2040117000,0.1937577000,0.9596026000,0.0000000000,
