eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
1184812,1,0.9601879000,3.3209080000,-0.0307674600,0.0007666474,-0.0197069900,0.0585334300,0.0755929600,0.9954193000,1,0.9601879000,3.2015380000,0.0333279100,-0.0004299927,-0.0221226400,0.1869370000,0.0670629400,0.9800801000,0.0138192000,-0.0000657654,-0.0213873800,0.1481184000,0.0697790700,0.9865049000,0.0000000000,
1184820,1,0.9601879000,3.3045960000,-0.0305875300,0.0007539673,-0.0195648200,0.1327529000,0.0539403900,0.9896803000,1,0.9601879000,3.1582490000,0.0335919200,-0.0004308777,-0.0221490500,0.2335088000,0.0563973300,0.9707178000,0.0160660100,-0.0001073151,-0.0214433600,0.2062110000,0.0557871500,0.9769160000,0.0000000000,
1184828,1,0.9938106000,3.3980410000,-0.0303363500,0.0005592957,-0.0189914000,0.1706407000,0.0556798600,0.9837589000,1,0.9938106000,3.1413420000,0.0338017900,-0.0004534912,-0.0222268800,0.2822906000,0.0632788700,0.9572397000,0.0169635300,-0.0001876068,-0.0213774600,0.2533002000,0.0613566300,0.9654400000,0.0000000000,
1184837,1,1.0000000000,3.3637240000,-0.0301605500,0.0005183258,-0.0188282500,0.2229180000,0.0509343700,0.9735056000,1,1.0000000000,3.2038270000,0.0339965500,-0.0004680481,-0.0222735600,0.3145164000,0.0523685400,0.9478064000,0.0148440900,-0.0001735840,-0.0212450600,0.2874478000,0.0519872000,0.9563844000,0.0000000000,
1184845,1,1.0000000000,3.4077610000,-0.0300007300,0.0005440827,-0.0188892400,0.2644984000,0.0480198700,0.9631898000,1,1.0000000000,3.1036990000,0.0341832900,-0.0004621735,-0.0223449700,0.3401972000,0.0578159800,0.9385750000,-0.0188847500,0.0003697968,-0.0194877300,0.2777409000,0.0497437300,0.9593673000,0.0000000000,
1184853,1,1.0000000000,3.2870480000,-0.0297679200,0.0005802918,-0.0189443400,0.2952442000,0.0382235100,0.9546569000,1,1.0000000000,3.2098240000,0.0343358900,-0.0004566498,-0.0224460200,0.3875742000,0.0515290600,0.9203972000,-0.0117171600,0.0002882843,-0.0199303600,0.3215691000,0.0420081500,0.9459538000,0.0000000000,
1184862,1,1.0000000000,3.4371030000,-0.0295440500,0.0005805512,-0.0190345300,0.3308769000,0.0381781000,0.9429014000,1,1.0000000000,3.2441860000,0.0345022500,-0.0004859925,-0.0225077800,0.4136715000,0.0531776100,0.9088718000,-0.0136610000,0.0003160553,-0.0198958800,0.3516759000,0.0419166800,0.9351829000,0.0000000000,
1184870,1,1.0000000000,3.4448850000,-0.0293982300,0.0005949097,-0.0190817400,0.3575935000,0.0388340300,0.9330695000,1,1.0000000000,3.3087460000,0.0346502800,-0.0004701233,-0.0226146200,0.4643563000,0.0500489200,0.8842332000,0.0169026500,-0.0001750031,-0.0216356800,0.4353856000,0.0470130400,0.8990156000,0.0000000000,
1184878,1,1.0000000000,3.4618380000,-0.0293254300,0.0005691223,-0.0191450800,0.3927189000,0.0348208600,0.9189991000,1,1.0000000000,3.2522280000,0.0347377500,-0.0004812317,-0.0226750200,0.4873852000,0.0527958600,0.8715895000,-0.0266669900,0.0005255280,-0.0192915700,0.3967323000,0.0355685700,0.9172450000,0.0000000000,
1184887,1,1.0000000000,3.5722050000,-0.0292497000,0.0005722809,-0.0191951800,0.4128167000,0.0326389700,0.9102291000,1,1.0000000000,3.2519990000,0.0348187400,-0.0005208435,-0.0227242700,0.5031811000,0.0450903700,0.8630038000,0.0171233500,-0.0002189179,-0.0217495600,0.4787191000,0.0416874600,0.8769779000,0.0000000000,
1184895,1,1.0000000000,3.5003810000,-0.0291546300,0.0005541840,-0.0192407700,0.4323802000,0.0315862100,0.9011380000,1,1.0000000000,3.3363950000,0.0349030000,-0.0005532532,-0.0227721600,0.5165733000,0.0416719400,0.8552283000,-0.0095807960,0.0002157745,-0.0203198400,0.4585642000,0.0346990200,0.8879836000,0.0000000000,
1184903,1,1.0000000000,3.4577180000,-0.0290737800,0.0005184631,-0.0192909100,0.4453794000,0.0278324000,0.8949093000,1,1.0000000000,3.3624730000,0.0349507000,-0.0005483399,-0.0228162500,0.5368393000,0.0321810600,0.8430706000,-0.0180803200,0.0003352814,-0.0198962400,0.4614499000,0.0285955200,0.8867053000,0.0000000000,
1184912,1,1.0000000000,3.5151370000,-0.0289574900,0.0004829407,-0.0193381700,0.4558301000,0.0265047700,0.8896721000,1,1.0000000000,3.3466190000,0.0350306100,-0.0005736389,-0.0228563200,0.5412689000,0.0303807600,0.8403005000,-0.0073048100,0.0001253967,-0.0205286600,0.4852758000,0.0278473200,0.8739176000,0.0000000000,
1184920,1,1.0000000000,3.5364230000,-0.0288457800,0.0004558869,-0.0193964100,0.4746152000,0.0235446000,0.8798784000,1,1.0000000000,3.2492070000,0.0350680200,-0.0005683594,-0.0229153400,0.5615731000,0.0419924800,0.8263608000,-0.0023127440,0.0000306702,-0.0208572400,0.5113853000,0.0312348800,0.8587837000,0.0000000000,
1184928,1,1.0000000000,3.5817720000,-0.0287861200,0.0004732666,-0.0194207300,0.4850393000,0.0085908440,0.8744501000,1,1.0000000000,3.2937010000,0.0350848700,-0.0005705109,-0.0229472400,0.5874994000,0.0191499600,0.8089980000,0.0005268402,-0.0000057526,-0.0210391900,0.5330567000,0.0134584100,0.8459724000,0.0000000000,
