unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
52.7151300000,955191,-0.8094537000,1.3590830000,-0.6368287000,0.1045028000,-0.0426495100,-0.0076493050,0.9935803000,-0.8094537000,1.3590830000,-0.6368287000,0.1045028000,-0.0426495100,-0.0076493050,0.9935803000,-0.8094537000,1.3590830000,-0.6368287000,0.1045028000,-0.0426495100,-0.0076493050,0.9935803000,,
52.7252500000,955208,-0.8094709000,1.3590160000,-0.6368651000,0.1060506000,-0.0441282400,-0.0073228420,0.9933541000,-0.8094709000,1.3590160000,-0.6368651000,0.1060506000,-0.0441282400,-0.0073228420,0.9933541000,-0.8094709000,1.3590160000,-0.6368651000,0.1060506000,-0.0441282400,-0.0073228420,0.9933541000,,
52.7362700000,955208,-0.8094778000,1.3588750000,-0.6370223000,0.1077289000,-0.0459984100,-0.0059902300,0.9930976000,-0.8094778000,1.3588750000,-0.6370223000,0.1077289000,-0.0459984100,-0.0059902300,0.9930976000,-0.8094778000,1.3588750000,-0.6370223000,0.1077289000,-0.0459984100,-0.0059902300,0.9930976000,,
52.7476700000,955241,-0.8095315000,1.3586050000,-0.6370792000,0.1078031000,-0.0477211400,-0.0060267700,0.9930080000,-0.8095315000,1.3586050000,-0.6370792000,0.1078031000,-0.0477211400,-0.0060267700,0.9930080000,-0.8095315000,1.3586050000,-0.6370792000,0.1078031000,-0.0477211400,-0.0060267700,0.9930080000,,
52.7584900000,955249,-0.8094242000,1.3583230000,-0.6370456000,0.1075865000,-0.0494452800,-0.0058491980,0.9929482000,-0.8094242000,1.3583230000,-0.6370456000,0.1075865000,-0.0494452800,-0.0058491980,0.9929482000,-0.8094242000,1.3583230000,-0.6370456000,0.1075865000,-0.0494452800,-0.0058491980,0.9929482000,,
52.7696000000,955266,-0.8093951000,1.3581210000,-0.6371200000,0.1081544000,-0.0505691700,-0.0056261280,0.9928312000,-0.8093951000,1.3581210000,-0.6371200000,0.1081544000,-0.0505691700,-0.0056261280,0.9928312000,-0.8093951000,1.3581210000,-0.6371200000,0.1081544000,-0.0505691700,-0.0056261280,0.9928312000,,
52.7895100000,955274,-0.8093240000,1.3579680000,-0.6372974000,0.1091886000,-0.0509756000,-0.0054395000,0.9926983000,-0.8093240000,1.3579680000,-0.6372974000,0.1091886000,-0.0509756000,-0.0054395000,0.9926983000,-0.8093240000,1.3579680000,-0.6372974000,0.1091886000,-0.0509756000,-0.0054395000,0.9926983000,,
52.8040700000,955282,-0.8092196000,1.3579330000,-0.6373599000,0.1096185000,-0.0506771900,-0.0059074810,0.9926634000,-0.8092196000,1.3579330000,-0.6373599000,0.1096185000,-0.0506771900,-0.0059074810,0.9926634000,-0.8092196000,1.3579330000,-0.6373599000,0.1096185000,-0.0506771900,-0.0059074810,0.9926634000,,
52.8130800000,955282,-0.8090913000,1.3578680000,-0.6373844000,0.1098904000,-0.0503884400,-0.0066094890,0.9926437000,-0.8090913000,1.3578680000,-0.6373844000,0.1098904000,-0.0503884400,-0.0066094890,0.9926437000,-0.8090913000,1.3578680000,-0.6373844000,0.1098904000,-0.0503884400,-0.0066094890,0.9926437000,,
52.8219000000,955299,-0.8089247000,1.3578710000,-0.6374252000,0.1098401000,-0.0495240300,-0.0082969270,0.9926801000,-0.8089247000,1.3578710000,-0.6374252000,0.1098401000,-0.0495240300,-0.0082969270,0.9926801000,-0.8089247000,1.3578710000,-0.6374252000,0.1098401000,-0.0495240300,-0.0082969270,0.9926801000,,
