unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
7.6825390000,910125,-0.8183086000,1.3733580000,-0.6408403000,0.0444642100,0.0525901100,-0.0173713300,0.9974746000,-0.8183086000,1.3733580000,-0.6408403000,0.0444642100,0.0525901100,-0.0173713300,0.9974746000,-0.8183086000,1.3733580000,-0.6408403000,0.0444642100,0.0525901100,-0.0173713300,0.9974746000,,
7.6825390000,910142,-0.8182364000,1.3734460000,-0.6409268000,0.0441914200,0.0529092400,-0.0173425900,0.9974703000,-0.8182364000,1.3734460000,-0.6409268000,0.0441914200,0.0529092400,-0.0173425900,0.9974703000,-0.8182364000,1.3734460000,-0.6409268000,0.0441914200,0.0529092400,-0.0173425900,0.9974703000,,
7.7025380000,910175,-0.8177712000,1.3740890000,-0.6415100000,0.0419328400,0.0551033500,-0.0177481800,0.9974419000,-0.8177712000,1.3740890000,-0.6415100000,0.0419328400,0.0551033500,-0.0177481800,0.9974419000,-0.8177712000,1.3740890000,-0.6415100000,0.0419328400,0.0551033500,-0.0177481800,0.9974419000,,
7.7092130000,910175,-0.8173542000,1.3746190000,-0.6420021000,0.0399104600,0.0565659600,-0.0174786700,0.9974477000,-0.8173542000,1.3746190000,-0.6420021000,0.0399104600,0.0565659600,-0.0174786700,0.9974477000,-0.8173542000,1.3746190000,-0.6420021000,0.0399104600,0.0565659600,-0.0174786700,0.9974477000,,
7.7141580000,910175,-0.8174386000,1.3745990000,-0.6418777000,0.0404305900,0.0562540800,-0.0174443400,0.9974450000,-0.8174386000,1.3745990000,-0.6418777000,0.0404305900,0.0562540800,-0.0174443400,0.9974450000,-0.8174386000,1.3745990000,-0.6418777000,0.0404305900,0.0562540800,-0.0174443400,0.9974450000,,
7.7273440000,910200,-0.8172944000,1.3746990000,-0.6419842000,0.0402694200,0.0564932800,-0.0171487000,0.9974431000,-0.8172944000,1.3746990000,-0.6419842000,0.0402694200,0.0564932800,-0.0171487000,0.9974431000,-0.8172944000,1.3746990000,-0.6419842000,0.0402694200,0.0564932800,-0.0171487000,0.9974431000,,
7.7331700000,910200,-0.8171194000,1.3748070000,-0.6421137000,0.0401460000,0.0567124700,-0.0170354700,0.9974376000,-0.8171194000,1.3748070000,-0.6421137000,0.0401460000,0.0567124700,-0.0170354700,0.9974376000,-0.8171194000,1.3748070000,-0.6421137000,0.0401460000,0.0567124700,-0.0170354700,0.9974376000,,
7.7444050000,910234,-0.8169038000,1.3749050000,-0.6422493000,0.0404073700,0.0569592400,-0.0169681400,0.9974142000,-0.8169038000,1.3749050000,-0.6422493000,0.0404073700,0.0569592400,-0.0169681400,0.9974142000,-0.8169038000,1.3749050000,-0.6422493000,0.0404073700,0.0569592400,-0.0169681400,0.9974142000,,
7.7553630000,910242,-0.8167248000,1.3750110000,-0.6424530000,0.0406791100,0.0573989600,-0.0170221900,0.9973770000,-0.8167248000,1.3750110000,-0.6424530000,0.0406791100,0.0573989600,-0.0170221900,0.9973770000,-0.8167248000,1.3750110000,-0.6424530000,0.0406791100,0.0573989600,-0.0170221900,0.9973770000,,
7.7666450000,910259,-0.8164718000,1.3750290000,-0.6426320000,0.0411382700,0.0581726700,-0.0174223100,0.9973064000,-0.8164718000,1.3750290000,-0.6426320000,0.0411382700,0.0581726700,-0.0174223100,0.9973064000,-0.8164718000,1.3750290000,-0.6426320000,0.0411382700,0.0581726700,-0.0174223100,0.9973064000,,
