trial,timestamp,magnification,radial,response
0,55.11803,0.95,0,0
1,60.03459,0.95,0,0
2,64.39225,1,0,1
3,68.95084,1,0,0
4,73.2552,0.95,0,1
5,77.97127,1.05,0,0
6,121.5579,1.05,0,1
7,125.842,0.95,0,0
8,130.2106,1.05,0,0
9,133.7725,1.05,0,1
10,137.309,1.05,0,1
11,140.9613,1,0,1
12,179.4065,1,0,1
13,183.0057,1.05,0,0
14,187.574,0.95,0,1
15,193.2205,1,0,0
16,198.3653,1,0,1
17,218.2542,0.95,0,1
18,269.2696,0.95,0,1
19,275.9404,1,0,0
20,281.8808,1.05,0,1
21,287.376,1,0,1
22,293.4197,0.95,0,0
23,317.4209,1.05,0,1
