phase,trial,magnification,head_amp,eye_amp,gain_paired,gain_lstsq,offset_lstsq,r_squared
baseline,0,0.95,20.806998925798162,20.275099329353296,0.9744365057958755,0.971958516558963,0.29086528039504894,0.9980989719558949
baseline,1,1.08,19.010013840561268,20.46662282141706,1.076623246730513,1.0825691534494672,-0.5990008120913858,0.9931554123746714
baseline,2,0.9,18.529248780590166,17.048114955059184,0.9200650904378538,0.8993907434526555,-0.15767756491748325,0.9943916418847973
baseline,3,1.08,18.22694846934885,20.813611437254064,1.141914208637559,1.1073698826274598,0.603585389913286,0.9861405868416542
baseline,4,1.04,15.910792341948335,16.99152636189634,1.0679245883373565,1.0736133772630418,0.018605801419769384,0.9962697175373021
baseline,5,0.95,24.386470028702565,23.582696718204133,0.9670401944376369,0.9683409378877715,0.6657361223785949,0.9952796936135089
baseline,6,0.85,19.201037418824995,17.174177062064015,0.8944400600577022,0.8975626732167116,0.3775643562009568,0.9987491960083086
baseline,7,0.9,19.49503933365732,18.32255292676555,0.9398571920361543,0.9265262221052953,0.1368912931845856,0.998232995133804
baseline,8,0.9,18.662777614585085,19.854200407613355,1.0638395215135161,0.5949389180001976,-3.368109501014071,0.17027635348241688
baseline,9,1.04,20.907825591405715,21.922016590675817,1.0485077223758261,1.0530432099080902,0.3877707139263751,0.9951757052399797
baseline,10,0.9,23.45183647240843,21.52507649650702,0.9178418296508128,0.9091049539245502,0.2898235349716151,0.9968196327831462
baseline,11,1.04,18.923261480862454,20.141081879538977,1.0643557348667476,1.0570903932349114,-0.1397520797391076,0.9976259598562692
baseline,12,0.9,19.960300904190845,18.475820507052664,0.9256283557916454,0.9224306441673332,0.23957660440163803,0.9968642301086115
baseline,13,1.12,19.66161084846917,22.264430545640643,1.1323807961225174,1.1357858152838018,-0.18759360419909707,0.9973039880404697
baseline,14,1.04,18.75569122448338,19.50765908744238,1.0400927832495659,1.050073516254448,0.6448947963087426,0.9931902845803742
baseline,15,1.08,20.102934734947418,22.809816674448715,1.134651083296589,0.7473801053607977,-3.1045395414356216,0.14978853191364228
baseline,16,1.08,19.121060651591527,21.062012418081945,1.1015085827013924,1.0913765672904998,0.22920221201443594,0.9946945625748957
baseline,17,1.04,19.778517559038107,21.29197706333665,1.076520371144143,1.0700768775779939,0.06457155002958642,0.9977988384070463
baseline,18,1.12,21.18601602479349,24.248680569976468,1.144560664053063,1.13361568394877,0.09215620670758926,0.99722464509569
baseline,19,0.95,19.181574724750206,18.87743000913673,0.9841439131052658,0.9748330837840481,0.2718987917084644,0.9975380729446855
baseline,20,0.85,25.419268947187938,19.637501687172808,0.7725439204397437,0.6768540889280831,-3.663695456347035,0.8496765058112805
baseline,21,1.12,23.79799749952005,26.482397109300315,1.112799390361916,1.0253844810156374,-2.03537957782446,0.9193824955263582
baseline,22,0.9,23.63953139135242,21.2551798045243,0.899137104397072,0.8869274503049821,-1.0728645388577855,0.9910361295278906
baseline,23,0.95,23.420828337532704,22.489657960109188,0.9602417829120381,0.9619794020652425,-0.6873699235371974,0.9963718579577733
baseline,24,1.16,20.65597379632372,23.768873739298215,1.1507021636292216,1.1456714930707843,-0.7813157589659449,0.9919772485517485
baseline,25,0.8,22.538122288241098,19.30591199840985,0.8565891937005949,0.8528239259817304,-0.1569272813901052,0.9985257253100482
baseline,26,1.0,21.093929437651155,21.742320913096886,1.030738297355276,1.0062207866402326,0.33386149527308934,0.9948241215113502
baseline,27,1.12,20.39202733465749,23.036055714416136,1.1296599075887348,1.1146741123005932,0.41143685942706204,0.9928496097464711
baseline,28,1.04,17.16216271183376,18.350225743378516,1.0692257177311084,1.0651788944974485,0.31757735297490314,0.997896322997099
baseline,29,0.9,20.173906431405662,18.29173535760465,0.9067026963666814,0.8306043803215382,-0.008320205380710374,0.9554380010018906
baseline,30,0.95,23.8555112088525,22.58101762663497,0.9465744594169677,0.9524920526803796,0.29078827404768215,0.995313029521691
baseline,31,1.0,22.23500276225295,22.366126984358804,1.0058971983726692,0.9089329479455728,0.861843779342376,0.9912996942616684
baseline,32,1.04,21.00628817262691,21.996706203252653,1.047148645324039,1.0564868074499383,-1.5735421370204645,0.9933277737621471
baseline,33,1.0,16.519169977340106,19.947736053779032,1.2075507474735114,0.34620925125101226,-9.185944557205632,0.02518893369836739
baseline,34,1.16,22.751180566372007,26.16185647957304,1.149912040970844,1.1306573822424322,-0.5041366245245139,0.9955079137856742
baseline,35,1.12,24.45932365156189,27.544645112944394,1.1261409148239259,1.125861054718121,-0.8154378002726332,0.9977923328618967
baseline,36,1.04,18.7120184254892,22.50893816185606,1.2029134244114872,0.6632371191090685,-0.8953777332642522,0.2405136525248205
baseline,37,1.12,19.811258250584977,21.813925330366217,1.101087323906956,1.1288343736267532,0.30852085389576944,0.9971321821104897
baseline,38,1.0,20.535931519963185,21.353761691162354,1.039824352277575,1.0311956119478103,0.060690417120132276,0.9962827577129026
baseline,39,1.08,20.0065974895577,22.304507686065932,1.114857621227578,1.0663691705517069,-0.22803563774957705,0.9942045058635854
baseline,40,1.08,19.136550903711644,22.69099731023858,1.1857412249684727,1.025442172259443,-4.408260802264231,0.28001574431691056
baseline,41,1.08,21.427268346078172,21.67851487172129,1.0117255509001504,0.9869809757641921,0.3563209505298377,0.9815935728622969
baseline,42,1.0,19.256181609920773,19.966941795216467,1.0369107541512546,1.0156440293359423,0.0341451681199366,0.9983154663860119
baseline,43,0.95,19.57139622011121,19.15814559035185,0.9788849694159933,0.959255170654959,0.42296576727837115,0.9969506721463021
baseline,44,0.9,18.05971232086905,17.072435189415025,0.9453326213666665,0.9126964600240743,0.05932893969165055,0.9966741307387942
baseline,45,1.08,22.425925971732998,24.04125936630355,1.072029730081452,1.0692185677157868,-0.7221007842371608,0.9985748172978314
