time_s,head_amp,eye_amp,gain,phase,round
61.33080000000001,54.00495357761045,17.431930548812264,0.32278391877072643,baseline,0
118.89870000000002,47.890678305981716,25.167944363263786,0.5255290852733698,baseline,1
180.31529999999998,53.91744908410512,30.072419849492594,0.5577493067704857,baseline,2
250.29949999999997,52.44311655450944,14.959540211230369,0.28525269270908804,baseline,3
311.0996,50.73425099010774,25.287874488185743,0.4984379190522872,baseline,4
371.3913,45.91960023561807,43.99343844835304,0.9580536028758591,baseline,5
433.154,39.38747228102184,49.111494189562634,1.2468810854162413,baseline,6
495.7269,45.071544368995205,33.01052574326416,0.7324028099195146,baseline,7
556.6993,52.1943102320397,31.080009160309885,0.5954673799143587,baseline,8
618.7893,46.09778930934009,24.962643648145495,0.5415149841705684,baseline,9
680.8628000000001,42.934185966750896,24.289885643397742,0.5657469705425024,baseline,10
44.246000000000095,51.705488158281035,21.580217671201662,0.41736802880847423,aftereffect,0
105.35100000000011,51.641213278283125,18.65249239665188,0.3611939226938319,aftereffect,1
169.26900000000023,48.40180614699205,42.89200296885953,0.8861653393387897,aftereffect,2
229.22400000000016,50.093423396821464,19.083967044294923,0.3809675152987416,aftereffect,3
291.1590000000001,53.08789645881188,12.1881958109418,0.22958520913327168,aftereffect,4
351.3290000000002,49.250180425240764,27.567043428889434,0.5597348718495516,aftereffect,5
410.5170000000003,65.00207974784429,31.67537294252878,0.4872978382446179,aftereffect,6
472.49800000000005,52.77125827152272,27.735887076104635,0.5255869953563704,aftereffect,7
532.277,50.909799781212875,30.50286647466612,0.5991551058097565,aftereffect,8
627.5510000000004,50.81583798980439,20.17630546622506,0.39704757934471535,aftereffect,9
687.0600000000004,59.613088302849796,21.88406004250448,0.3671015990872312,aftereffect,10
15.0,39.467736517079885,26.48406801177117,0.6710308304685788,adaptation,-1
25.0,48.411760566830786,34.71353972531757,0.7170476619497592,adaptation,-1
35.0,47.59793488795133,38.202227690444374,0.8026026293026143,adaptation,-1
45.0,49.912083905523495,31.377299922574398,0.6286513699160945,adaptation,-1
55.0,48.44322499975295,28.358958375542464,0.5854060784699426,adaptation,-1
65.0,56.78335321345876,17.425145831747965,0.3068706732806661,adaptation,-1
75.0,53.67446361468951,21.163740512823708,0.39429812777917844,adaptation,-1
85.0,49.53050243376377,17.483576796910086,0.35298605783962217,adaptation,-1
95.0,50.57670020967464,20.5152661609897,0.40562682175665954,adaptation,-1
105.0,53.766791299775896,19.222185113220753,0.3575103637121986,adaptation,-1
115.0,58.38203256760155,18.68225645921976,0.32000010341516044,adaptation,-1
125.0,57.350633540077865,17.13501141670181,0.2987763231024727,adaptation,-1
135.0,41.32126033479112,21.260546016846753,0.51451833377275,adaptation,-1
145.0,43.970569276815596,22.97867618997887,0.5225921921846679,adaptation,-1
155.0,40.26475991246369,20.41110618135534,0.5069223366966412,adaptation,-1
165.0,46.819592034537735,14.3994209234361,0.3075511831203907,adaptation,-1
175.0,45.482050466053956,18.79705103374935,0.41328503972745784,adaptation,-1
185.0,41.30859450110115,19.047634080534248,0.46110583791531573,adaptation,-1
195.0,41.95304017368285,23.64393554051906,0.5635809810834854,adaptation,-1
205.0,43.71594649680137,22.786798648748807,0.521246832672743,adaptation,-1
215.0,47.81096138294602,25.406622122255527,0.5313974324581971,adaptation,-1
225.0,50.663075254450284,35.48222764664643,0.7003567680887994,adaptation,-1
235.0,52.45794126609565,47.52786376475253,0.9060184715153985,adaptation,-1
245.0,53.62408861442521,34.92843884866972,0.6513572491612241,adaptation,-1
