unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
5.5853820000,7401,-0.5368397000,1.4464650000,-0.6795688000,0.0318646700,0.0329033400,-0.0260330200,0.9986112000,-0.5368397000,1.4464650000,-0.6795688000,0.0318646700,0.0329033400,-0.0260330200,0.9986112000,-0.5368397000,1.4464650000,-0.6795688000,0.0318646700,0.0329033400,-0.0260330200,0.9986112000,
5.5853820000,7471,-0.5368800000,1.4462250000,-0.6795776000,0.0326687600,0.0334450600,-0.0262937700,0.9985604000,-0.5368800000,1.4462250000,-0.6795776000,0.0326687600,0.0334450600,-0.0262937700,0.9985604000,-0.5368800000,1.4462250000,-0.6795776000,0.0326687600,0.0334450600,-0.0262937700,0.9985604000,
5.6053820000,7471,-0.5379906000,1.4447210000,-0.6796684000,0.0377160900,0.0356995600,-0.0246890500,0.9983454000,-0.5379906000,1.4447210000,-0.6796684000,0.0377160900,0.0356995600,-0.0246890500,0.9983454000,-0.5379906000,1.4447210000,-0.6796684000,0.0377160900,0.0356995600,-0.0246890500,0.9983454000,
5.6110620000,7505,-0.5386100000,1.4439480000,-0.6796582000,0.0399734100,0.0361481700,-0.0233535400,0.9982736000,-0.5386100000,1.4439480000,-0.6796582000,0.0399734100,0.0361481700,-0.0233535400,0.9982736000,-0.5386100000,1.4439480000,-0.6796582000,0.0399734100,0.0361481700,-0.0233535400,0.9982736000,
5.6182200000,7505,-0.5386586000,1.4439400000,-0.6796494000,0.0402662600,0.0361643800,-0.0233076500,0.9982623000,-0.5386586000,1.4439400000,-0.6796494000,0.0402662600,0.0361643800,-0.0233076500,0.9982623000,-0.5386586000,1.4439400000,-0.6796494000,0.0402662600,0.0361643800,-0.0233076500,0.9982623000,
5.6299350000,7517,-0.5390096000,1.4437260000,-0.6796043000,0.0417163600,0.0363599100,-0.0229111400,0.9982048000,-0.5390096000,1.4437260000,-0.6796043000,0.0417163600,0.0363599100,-0.0229111400,0.9982048000,-0.5390096000,1.4437260000,-0.6796043000,0.0417163600,0.0363599100,-0.0229111400,0.9982048000,
5.6399930000,7529,-0.5393558000,1.4434510000,-0.6794653000,0.0432339300,0.0367191700,-0.0225714800,0.9981348000,-0.5393558000,1.4434510000,-0.6794653000,0.0432339300,0.0367191700,-0.0225714800,0.9981348000,-0.5393558000,1.4434510000,-0.6794653000,0.0432339300,0.0367191700,-0.0225714800,0.9981348000,
5.6513630000,7539,-0.5396669000,1.4432040000,-0.6793528000,0.0450929400,0.0369829900,-0.0224669500,0.9980452000,-0.5396669000,1.4432040000,-0.6793528000,0.0450929400,0.0369829900,-0.0224669500,0.9980452000,-0.5396669000,1.4432040000,-0.6793528000,0.0450929400,0.0369829900,-0.0224669500,0.9980452000,
5.6621120000,7551,-0.5399785000,1.4429290000,-0.6792462000,0.0468921500,0.0373680800,-0.0222866800,0.9979520000,-0.5399785000,1.4429290000,-0.6792462000,0.0468921500,0.0373680800,-0.0222866800,0.9979520000,-0.5399785000,1.4429290000,-0.6792462000,0.0468921500,0.0373680800,-0.0222866800,0.9979520000,
5.6730710000,7561,-0.5402868000,1.4426540000,-0.6790938000,0.0491158800,0.0376264900,-0.0223070100,0.9978348000,-0.5402868000,1.4426540000,-0.6790938000,0.0491158800,0.0376264900,-0.0223070100,0.9978348000,-0.5402868000,1.4426540000,-0.6790938000,0.0491158800,0.0376264900,-0.0223070100,0.9978348000,
5.6843500000,7572,-0.5405684000,1.4422860000,-0.6789834000,0.0517253300,0.0380401800,-0.0223509300,0.9976863000,-0.5405684000,1.4422860000,-0.6789834000,0.0517253300,0.0380401800,-0.0223509300,0.9976863000,-0.5405684000,1.4422860000,-0.6789834000,0.0517253300,0.0380401800,-0.0223509300,0.9976863000,
5.6956550000,7584,-0.5407987000,1.4418840000,-0.6788216000,0.0543654300,0.0384205100,-0.0221243200,0.9975364000,-0.5407987000,1.4418840000,-0.6788216000,0.0543654300,0.0384205100,-0.0221243200,0.9975364000,-0.5407987000,1.4418840000,-0.6788216000,0.0543654300,0.0384205100,-0.0221243200,0.9975364000,
5.7072940000,7595,-0.5410802000,1.4415270000,-0.6787155000,0.0571042700,0.0390965200,-0.0218927500,0.9973621000,-0.5410802000,1.4415270000,-0.6787155000,0.0571042700,0.0390965200,-0.0218927500,0.9973621000,-0.5410802000,1.4415270000,-0.6787155000,0.0571042700,0.0390965200,-0.0218927500,0.9973621000,
5.7180330000,7606,-0.5412526000,1.4412250000,-0.6785712000,0.0593250200,0.0397757300,-0.0212323900,0.9972200000,-0.5412526000,1.4412250000,-0.6785712000,0.0593250200,0.0397757300,-0.0212323900,0.9972200000,-0.5412526000,1.4412250000,-0.6785712000,0.0593250200,0.0397757300,-0.0212323900,0.9972200000,
5.7289400000,7617,-0.5414343000,1.4408630000,-0.6783319000,0.0613653700,0.0407029400,-0.0202708100,0.9970791000,-0.5414343000,1.4408630000,-0.6783319000,0.0613653700,0.0407029400,-0.0202708100,0.9970791000,-0.5414343000,1.4408630000,-0.6783319000,0.0613653700,0.0407029400,-0.0202708100,0.9970791000,
5.7401360000,7628,-0.5416121000,1.4406740000,-0.6781597000,0.0630386000,0.0417403100,-0.0193344300,0.9969504000,-0.5416121000,1.4406740000,-0.6781597000,0.0630386000,0.0417403100,-0.0193344300,0.9969504000,-0.5416121000,1.4406740000,-0.6781597000,0.0630386000,0.0417403100,-0.0193344300,0.9969504000,
5.7510600000,7639,-0.5417190000,1.4404850000,-0.6779037000,0.0646303500,0.0424573900,-0.0186306300,0.9968316000,-0.5417190000,1.4404850000,-0.6779037000,0.0646303500,0.0424573900,-0.0186306300,0.9968316000,-0.5417190000,1.4404850000,-0.6779037000,0.0646303500,0.0424573900,-0.0186306300,0.9968316000,
5.7620120000,7650,-0.5418944000,1.4403250000,-0.6776149000,0.0660926600,0.0433020300,-0.0181781500,0.9967077000,-0.5418944000,1.4403250000,-0.6776149000,0.0660926600,0.0433020300,-0.0181781500,0.9967077000,-0.5418944000,1.4403250000,-0.6776149000,0.0660926600,0.0433020300,-0.0181781500,0.9967077000,
5.7733190000,7661,-0.5420468000,1.4401420000,-0.6773114000,0.0672366800,0.0439117600,-0.0180062300,0.9966077000,-0.5420468000,1.4401420000,-0.6773114000,0.0672366800,0.0439117600,-0.0180062300,0.9966077000,-0.5420468000,1.4401420000,-0.6773114000,0.0672366800,0.0439117600,-0.0180062300,0.9966077000,
5.7918260000,7672,-0.5421891000,1.4400460000,-0.6768684000,0.0678450500,0.0446346000,-0.0183806800,0.9965274000,-0.5421891000,1.4400460000,-0.6768684000,0.0678450500,0.0446346000,-0.0183806800,0.9965274000,-0.5421891000,1.4400460000,-0.6768684000,0.0678450500,0.0446346000,-0.0183806800,0.9965274000,
5.8132390000,7692,-0.5422063000,1.4399340000,-0.6765740000,0.0682432700,0.0461139600,-0.0191187500,0.9964190000,-0.5422063000,1.4399340000,-0.6765740000,0.0682432700,0.0461139600,-0.0191187500,0.9964190000,-0.5422063000,1.4399340000,-0.6765740000,0.0682432700,0.0461139600,-0.0191187500,0.9964190000,
5.8183400000,7712,-0.5422854000,1.4397530000,-0.6762178000,0.0691922200,0.0472906600,-0.0192929000,0.9962951000,-0.5422854000,1.4397530000,-0.6762178000,0.0691922200,0.0472906600,-0.0192929000,0.9962951000,-0.5422854000,1.4397530000,-0.6762178000,0.0691922200,0.0472906600,-0.0192929000,0.9962951000,
5.8289050000,7712,-0.5422230000,1.4392320000,-0.6753340000,0.0720124800,0.0519948900,-0.0204568700,0.9958375000,-0.5422230000,1.4392320000,-0.6753340000,0.0720124800,0.0519948900,-0.0204568700,0.9958375000,-0.5422230000,1.4392320000,-0.6753340000,0.0720124800,0.0519948900,-0.0204568700,0.9958375000,
5.8399990000,7728,-0.5420339000,1.4392040000,-0.6753101000,0.0720141700,0.0529512800,-0.0208051900,0.9957798000,-0.5420339000,1.4392040000,-0.6753101000,0.0720141700,0.0529512800,-0.0208051900,0.9957798000,-0.5420339000,1.4392040000,-0.6753101000,0.0720141700,0.0529512800,-0.0208051900,0.9957798000,
5.8513900000,7740,-0.5416846000,1.4389420000,-0.6750414000,0.0729270100,0.0557495700,-0.0213369300,0.9955493000,-0.5416846000,1.4389420000,-0.6750414000,0.0729270100,0.0557495700,-0.0213369300,0.9955493000,-0.5416846000,1.4389420000,-0.6750414000,0.0729270100,0.0557495700,-0.0213369300,0.9955493000,
5.8620600000,7751,-0.5412958000,1.4386750000,-0.6747627000,0.0735572100,0.0586525200,-0.0217200800,0.9953278000,-0.5412958000,1.4386750000,-0.6747627000,0.0735572100,0.0586525200,-0.0217200800,0.9953278000,-0.5412958000,1.4386750000,-0.6747627000,0.0735572100,0.0586525200,-0.0217200800,0.9953278000,
5.8742720000,7761,-0.5406733000,1.4384700000,-0.6746125000,0.0739163100,0.0624276700,-0.0221199900,0.9950628000,-0.5406733000,1.4384700000,-0.6746125000,0.0739163100,0.0624276700,-0.0221199900,0.9950628000,-0.5406733000,1.4384700000,-0.6746125000,0.0739163100,0.0624276700,-0.0221199900,0.9950628000,
5.9011950000,7773,-0.5392337000,1.4384130000,-0.6746550000,0.0740226100,0.0702462000,-0.0226673100,0.9945212000,-0.5392337000,1.4384130000,-0.6746550000,0.0740226100,0.0702462000,-0.0226673100,0.9945212000,-0.5392337000,1.4384130000,-0.6746550000,0.0740226100,0.0702462000,-0.0226673100,0.9945212000,
5.9073510000,7801,-0.5367653000,1.4379000000,-0.6743088000,0.0756460100,0.0854204400,-0.0243466300,0.9931709000,-0.5367653000,1.4379000000,-0.6743088000,0.0756460100,0.0854204400,-0.0243466300,0.9931709000,-0.5367653000,1.4379000000,-0.6743088000,0.0756460100,0.0854204400,-0.0243466300,0.9931709000,
5.9181800000,7801,-0.5361366000,1.4379130000,-0.6745098000,0.0757591500,0.0886878700,-0.0245114700,0.9928717000,-0.5361366000,1.4379130000,-0.6745098000,0.0757591500,0.0886878700,-0.0245114700,0.9928717000,-0.5361366000,1.4379130000,-0.6745098000,0.0757591500,0.0886878700,-0.0245114700,0.9928717000,
5.9292340000,7817,-0.5343840000,1.4375650000,-0.6746612000,0.0765446600,0.0984085900,-0.0255185200,0.9918697000,-0.5343840000,1.4375650000,-0.6746612000,0.0765446600,0.0984085900,-0.0255185200,0.9918697000,-0.5343840000,1.4375650000,-0.6746612000,0.0765446600,0.0984085900,-0.0255185200,0.9918697000,
5.9400550000,7829,-0.5327079000,1.4372250000,-0.6748121000,0.0771811400,0.1080630000,-0.0265800500,0.9907871000,-0.5327079000,1.4372250000,-0.6748121000,0.0771811400,0.1080630000,-0.0265800500,0.9907871000,-0.5327079000,1.4372250000,-0.6748121000,0.0771811400,0.1080630000,-0.0265800500,0.9907871000,
5.9516530000,7839,-0.5306680000,1.4368780000,-0.6751804000,0.0778398100,0.1195970000,-0.0277272500,0.9893780000,-0.5306680000,1.4368780000,-0.6751804000,0.0778398100,0.1195970000,-0.0277272500,0.9893780000,-0.5306680000,1.4368780000,-0.6751804000,0.0778398100,0.1195970000,-0.0277272500,0.9893780000,
5.9638930000,7851,-0.5285234000,1.4365730000,-0.6756566000,0.0779822800,0.1319925000,-0.0286954300,0.9877618000,-0.5285234000,1.4365730000,-0.6756566000,0.0779822800,0.1319925000,-0.0286954300,0.9877618000,-0.5285234000,1.4365730000,-0.6756566000,0.0779822800,0.1319925000,-0.0286954300,0.9877618000,
5.9733220000,7863,-0.5263903000,1.4363330000,-0.6762207000,0.0782765000,0.1444741000,-0.0298216300,0.9859568000,-0.5263903000,1.4363330000,-0.6762207000,0.0782765000,0.1444741000,-0.0298216300,0.9859568000,-0.5263903000,1.4363330000,-0.6762207000,0.0782765000,0.1444741000,-0.0298216300,0.9859568000,
5.9844870000,7872,-0.5241992000,1.4361270000,-0.6767802000,0.0785535900,0.1575489000,-0.0308608900,0.9838980000,-0.5241992000,1.4361270000,-0.6767802000,0.0785535900,0.1575489000,-0.0308608900,0.9838980000,-0.5241992000,1.4361270000,-0.6767802000,0.0785535900,0.1575489000,-0.0308608900,0.9838980000,
