unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
113.7234,116206,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7891544000,-0.4446398000,0.4237107000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798723000,-0.4531416000,0.4318124000,0.0000000000,0.0000000000,0.0000000000,0.7845353000,-0.4489033000,0.4277735000,2.6510630000,
113.7462,116310,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7891523000,-0.4446428000,0.4237115000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798740000,-0.4531411000,0.4318098000,0.0000000000,0.0000000000,0.0000000000,0.7845351000,-0.4489045000,0.4277726000,2.6521580000,
113.7662,116401,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7891572000,-0.4446377000,0.4237078000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798734000,-0.4531411000,0.4318109000,0.0000000000,0.0000000000,0.0000000000,0.7845373000,-0.4489020000,0.4277713000,2.6505540000,
113.78,116415,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7891689000,-0.4446284000,0.4236958000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798547000,-0.4531596000,0.4318253000,0.0000000000,0.0000000000,0.0000000000,0.7845339000,-0.4489066000,0.4277726000,2.6419620000,
113.8038,116439,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7891771000,-0.4446178000,0.4236915000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798502000,-0.4531607000,0.4318323000,0.0000000000,0.0000000000,0.0000000000,0.7845358000,-0.4489020000,0.4277740000,2.6383320000,
113.8134,116448,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7891924000,-0.4446043000,0.4236771000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798319000,-0.4531779000,0.4318472000,0.0000000000,0.0000000000,0.0000000000,0.7845345000,-0.4489039000,0.4277743000,2.6288510000,
113.8244,116459,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7892047000,-0.4445934000,0.4236658000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798183000,-0.4531907000,0.4318583000,0.0000000000,0.0000000000,0.0000000000,0.7845339000,-0.4489049000,0.4277743000,2.6216540000,
113.8664,116502,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7891992000,-0.4445997000,0.4236693000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798195000,-0.4531908000,0.4318559000,0.0000000000,0.0000000000,0.0000000000,0.7845319000,-0.4489081000,0.4277749000,2.6235300000,
113.8918,116527,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7891977000,-0.4446001000,0.4236717000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798285000,-0.4531817000,0.4318493000,0.0000000000,0.0000000000,0.0000000000,0.7845355000,-0.4489037000,0.4277727000,2.6264370000,
113.913,116548,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7891827000,-0.4446141000,0.4236851000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7798423000,-0.4531692000,0.4318375000,0.0000000000,0.0000000000,0.0000000000,0.7845348000,-0.4489044000,0.4277735000,2.6345730000,
