phase,trial,magnification,head_amp,eye_amp,gain_paired,gain_lstsq,offset_lstsq,r_squared
baseline,0,1.16,19.512380729635932,20.709571676694736,1.061355452399536,1.0745155912479585,-0.9048663436712171,0.982573798171994
baseline,1,1.12,15.187039233433431,15.18676254217222,0.9999817810926173,1.0311294790351644,-0.11120935895952794,0.9737610361174504
baseline,2,0.85,15.564576276097794,11.264303826033377,0.7237141330555681,0.6885315888389668,-1.643529264010921,0.8657357218493891
baseline,3,0.9,14.298141235826147,11.719238089060653,0.819633677956428,0.8058767040580003,0.43743114895581914,0.9510020105923876
baseline,4,1.04,20.91133726648206,18.339576044960317,0.8770159369174387,0.8484006843380828,1.2505537028482823,0.9109885300015992
baseline,5,0.8,17.548730294991127,12.540776903177878,0.7146258841733609,0.72280763197297,-0.07216620806049855,0.9439603555881019
baseline,6,1.0,17.654108413282636,16.451769705132378,0.9318946796970138,0.9549212713888795,0.37007029329437424,0.9777929091039288
baseline,7,1.2,16.154454574096384,15.139243575534021,0.9371559718153375,0.888863700432675,1.761540347443548,0.9225633078976774
baseline,8,0.8,18.078898383318254,13.840451526157047,0.7655583450221667,0.7886980650695695,-0.38270090002037166,0.9777772842365262
baseline,9,1.12,18.175248398533743,16.654562231343473,0.9163320283802587,0.993489231711621,-0.9319204287928204,0.9802970911379612
baseline,10,0.85,17.260916094314602,13.786065903056336,0.7986868036278323,0.7923461182939369,-0.2799325397521211,0.9443890310052606
baseline,11,0.9,18.122277655347375,14.952936927053912,0.8251135542359225,0.8445632958651422,-0.5022221230712776,0.9856227484007157
baseline,12,0.85,18.792540468227468,12.872119097954762,0.6849589665493946,0.6912988641297652,0.7667212998778377,0.9333282504521889
baseline,13,0.9,17.501070028584436,14.376719899608212,0.8214766226366025,0.8205822026291967,0.24366799238726394,0.9861725609515254
baseline,14,1.16,17.077809970249742,15.655304071863235,0.91670443102104,0.798079971794852,-1.8898115233438633,0.7681709909483001
baseline,15,1.04,16.034450913380695,13.330275372159162,0.8313521581855412,0.9272527470273986,-0.752775393861041,0.9790208616128436
baseline,16,1.04,17.59068426090346,14.886158653085532,0.846252393158524,0.9157873273271099,-0.5079435504249795,0.9818152623967566
baseline,17,0.85,17.44323186120981,12.308152430741961,0.7056119260853708,0.7075962827854271,0.2987919589140937,0.9150806270700829
baseline,18,1.0,17.816307719837738,15.782177942601848,0.8858276468265661,0.8408004454945508,-0.6126502579544253,0.9381499671490717
baseline,19,1.2,17.262635018097875,18.61610600682255,1.0784046576496416,1.0936222119466017,0.5858546712963802,0.9841664234092744
baseline,20,1.2,18.20669136969138,19.162974717337416,1.0525237303268598,0.9768678171303237,-1.6943787212728958,0.9160511838366145
baseline,21,1.12,17.51984753691342,18.400283287658468,1.0502536194387544,1.0267879246670089,-1.2639357059847494,0.9767516075918113
baseline,22,1.04,18.209789168767006,15.921717103470353,0.8743493379252792,0.8562096239345254,1.2329164258519012,0.9445010878181375
baseline,23,1.2,15.745752223764164,16.91056497942459,1.073976316857218,1.0840038535168677,-0.4194908731224919,0.9759242723652827
baseline,24,0.85,18.469279903746273,14.179689922071015,0.7677446005458413,0.7799639852585754,-1.0783541137228456,0.9593801122716878
baseline,25,1.08,16.65558765764422,14.847783889386317,0.8914596227153717,0.8452781440718904,-0.9456886256418977,0.9006863006518835
baseline,26,0.95,15.055224778107107,13.036734305617461,0.865927576489932,0.8834620301877185,-0.08902879773558907,0.988034456323782
baseline,27,1.0,16.88689148402512,15.073296192602793,0.8926033667511883,0.8477098241109534,-0.31969838966913183,0.9271280845323
baseline,28,0.95,18.07611694495916,13.656892490082894,0.7555213617873476,0.7088585405873684,-0.8900364462590479,0.8843278048494884
baseline,29,0.9,16.115703663257907,13.288705842253908,0.8245811737374363,0.8486440004386516,0.005093308753730489,0.9825502815221479
baseline,30,1.2,14.742168715107004,14.640628304382377,0.9931122474117005,0.8632513171213905,-0.42752944697217643,0.7654828222920872
baseline,31,1.0,16.185796801945916,14.523706384033325,0.8973117951343138,0.7151467898910631,-1.7260531299994613,0.8382878645880963
baseline,32,1.16,17.487858136666723,17.061889663190648,0.9756420443174256,0.8532250177622382,-0.7296297012383571,0.8573956110424074
baseline,33,0.95,17.194911422070664,15.169722688099721,0.8822216245108715,0.8872732867244035,-0.25339322453072227,0.9863079814191457
baseline,34,1.2,15.810975042954112,17.04242204621938,1.0778855826360967,1.0236033357822047,0.24413577881354384,0.9742224547975833
baseline,35,0.95,17.304814127822272,13.444485342001224,0.7769216844915715,0.8031534297535557,-0.466239713386297,0.9284111653145314
baseline,36,1.16,17.5237833614344,18.801099113154805,1.072890409871847,1.0598375998105316,-0.48978238029960214,0.9818623382592375
baseline,37,1.12,15.908384110029061,15.83518095414345,0.9953984543383346,0.9293846271783246,-1.4202863357964597,0.8756934498819905
baseline,38,0.95,17.150307342233667,12.795693895851343,0.7460912297671293,0.7806090446957914,-1.0305186074579893,0.9296015903509285
baseline,39,1.04,18.117585269637637,17.331133966614715,0.9565918254933843,0.964871003246666,-0.7596137007625565,0.9838834038223293
baseline,40,1.12,16.161583319370724,14.354307798015924,0.8881745998742177,0.8213575989940405,0.8067225862900558,0.82793816038293
baseline,41,0.95,18.065373144137155,14.298227293658353,0.791471461982983,0.8025772401249265,0.11064122925436988,0.9602235187248911
baseline,42,1.16,17.986112757875375,18.483312917424175,1.0276435584632426,1.0421020108025312,0.24489054038109298,0.9861732863005112
baseline,43,0.8,15.72437773904521,12.194023885663361,0.7754853061933493,0.5983590789176239,-2.1425986429830832,0.7257044403463144
baseline,44,0.8,16.032834486519917,11.80972536593796,0.7365962254439374,0.7410707835823851,-0.10530061785527689,0.976566454857303
baseline,45,1.0,15.169461819563413,12.566505939781031,0.8284081590537734,0.7932944492775535,-0.6922459081192072,0.8521958388322601
baseline,46,0.8,15.471533524849956,10.07159376708352,0.650975790532128,0.6659889079633887,0.6217293561931102,0.9524971075770183
baseline,47,0.85,13.814130683036739,11.190139132048357,0.8100501862045832,0.8280784743246531,0.40065925306543543,0.9788886719676814
baseline,48,1.08,18.325999796047753,18.458161125204583,1.007211684526229,0.8647035738325821,-1.7504389864205712,0.9066937567613548
baseline,49,0.9,16.844103520112927,13.265237469756347,0.7875300370789583,0.7076011608690721,-0.7505082761807137,0.8905828160769222
