trial,timestamp,magnification,radial,response
0,167.0723,1.025,0,1
1,177.9789,1.05,0,0
2,183.6653,1.1,0,0
3,189.2734,0.95,0,0
4,195.2488,1.025,0,1
5,224.7176,0.9,0,0
6,230.0599,1,0,1
7,235.9347,1.1,0,0
8,241.0438,0.95,0,0
9,246.3635,1.025,0,1
10,275.1283,1.15,0,0
11,280.8146,1.15,0,0
12,286.3122,0.975,0,0
13,291.4544,0.95,0,0
14,297.1073,0.9,0,0
15,326.2671,0.975,0,0
16,331.5977,0.95,0,0
17,337.051,1.025,0,1
18,342.7708,1,0,1
19,348.1573,1.1,0,0
20,376.2731,1.05,0,1
21,381.6373,0.95,0,0
22,387.1354,1.05,0,1
23,392.599,0.975,0,0
24,398.0191,1.15,0,0
25,425.7377,1.15,0,0
26,431.1465,1.05,0,1
27,436.4555,1,0,1
28,441.6414,1.15,0,0
29,446.6615,0.95,0,0
30,475.3345,1.05,0,1
31,480.4542,1.05,0,1
32,485.2855,1,0,1
33,490.1387,1.1,0,0
34,494.9921,1.025,0,1
35,522.5551,1,0,1
36,528.4854,0.9,0,0
37,533.2055,0.9,0,0
38,538.2698,1.05,0,1
39,542.8567,0.975,0,0
40,571.7848,0.9,0,0
41,577.0492,0.95,0,0
42,581.7805,1.15,0,0
43,586.5337,1.1,0,0
44,591.265,0.975,0,0
45,618.7311,1.15,0,0
46,623.4078,1.1,0,0
47,628.3724,0.975,0,1
48,632.6905,1.1,0,0
49,637.1351,1.025,0,1
50,670.4324,1.05,0,1
51,675.0753,0.95,0,0
52,679.3177,0.975,0,1
53,683.6822,1.1,0,1
54,688.0802,1.025,0,1
55,714.7986,0.9,0,0
56,719.0079,1,0,1
57,723.2726,0.975,0,0
58,727.837,1,0,1
59,732.1907,0.9,0,0
60,759.1658,1,0,1
61,763.3305,1.15,0,0
62,767.5176,1.025,0,1
63,771.449,0.9,0,0
