eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
3966495,1,1.0000000000,3.9543910000,-0.0285725900,0.0010997770,-0.0230354800,0.3079430000,0.0479287000,0.9501967000,1,1.0000000000,4.0566860000,0.0325027800,-0.0002581482,-0.0269796800,0.2712421000,0.0378115400,0.9617682000,0.0020404660,0.0004191284,-0.0250124400,0.2896138000,0.0428622400,0.9561834000,0.0000000000,
3966503,1,1.0000000000,3.9542850000,-0.0285713200,0.0011013180,-0.0230348200,0.3063859000,0.0485694600,0.9506675000,1,1.0000000000,4.0570830000,0.0325048400,-0.0002581482,-0.0269796900,0.2711805000,0.0382997500,0.9617662000,0.0021751860,0.0004169312,-0.0250207200,0.2887145000,0.0434116900,0.9564306000,0.0000000000,
3966511,1,1.0000000000,3.9510960000,-0.0285641900,0.0011343230,-0.0230126000,0.3051482000,0.0412754200,0.9514099000,1,1.0000000000,4.0558170000,0.0325113700,-0.0002541046,-0.0269796900,0.2700206000,0.0373078800,0.9621315000,0.0025825350,0.0004262543,-0.0250357100,0.2872803000,0.0392612900,0.9570416000,0.0000000000,
3966520,1,1.0000000000,3.9525910000,-0.0285641900,0.0011376040,-0.0230100100,0.3051800000,0.0440222200,0.9512767000,1,1.0000000000,4.0507660000,0.0325115700,-0.0002527618,-0.0269796800,0.2697799000,0.0371557800,0.9622049000,0.0031724700,0.0004151306,-0.0250727600,0.2868353000,0.0404663900,0.9571248000,0.0000000000,
3966528,1,1.0000000000,3.9503630000,-0.0285641900,0.0011376040,-0.0230100100,0.3030125000,0.0442052100,0.9519608000,1,1.0000000000,4.0552060000,0.0325115700,-0.0002524567,-0.0269789900,0.2694128000,0.0371403900,0.9623083000,0.0036331180,0.0004048004,-0.0251023400,0.2853410000,0.0404818000,0.9575707000,0.0000000000,
3966536,1,1.0000000000,3.9516750000,-0.0285641900,0.0011402440,-0.0230100100,0.3024769000,0.0481265300,0.9519410000,1,1.0000000000,4.0491330000,0.0325115700,-0.0002516937,-0.0269787900,0.2691831000,0.0372928800,0.9623667000,0.0039151610,0.0004000092,-0.0251205600,0.2848212000,0.0423737500,0.9576436000,0.0000000000,
3966545,1,1.0000000000,3.9466550000,-0.0285641900,0.0011426540,-0.0230100100,0.3023870000,0.0476842700,0.9519918000,1,1.0000000000,4.0498960000,0.0325115700,-0.0002516480,-0.0269786100,0.2691822000,0.0385439800,0.9623176000,0.0039931490,0.0003993836,-0.0251255400,0.2847317000,0.0428165600,0.9576505000,0.0000000000,
3966553,1,1.0000000000,3.9431460000,-0.0285641900,0.0011431890,-0.0230100100,0.3013040000,0.0484167700,0.9522982000,1,1.0000000000,4.0425720000,0.0325115700,-0.0002506409,-0.0269786100,0.2691959000,0.0400848900,0.9622509000,0.0038630220,0.0004031525,-0.0251170700,0.2842897000,0.0439915800,0.9577286000,0.0000000000,
3966561,1,1.0000000000,3.9344180000,-0.0285641900,0.0011436010,-0.0230100100,0.2987244000,0.0482335400,0.9531198000,1,1.0000000000,4.0391240000,0.0325115700,-0.0002503662,-0.0269786100,0.2691969000,0.0399934800,0.9622544000,0.0035470890,0.0004106903,-0.0250965400,0.2832355000,0.0439150700,0.9580445000,0.0000000000,
3966570,1,1.0000000000,3.9254610000,-0.0285641900,0.0011436160,-0.0230100100,0.2950012000,0.0485234500,0.9542640000,1,1.0000000000,4.0207520000,0.0325115700,-0.0002489472,-0.0269785500,0.2657034000,0.0393985100,0.9632494000,0.0030848390,0.0004219818,-0.0250664800,0.2798503000,0.0437933700,0.9590443000,0.0000000000,
