eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
4083728,1,1.0000000000,3.4838710000,-0.0308882000,0.0025485990,-0.0227623000,-0.1367967000,0.0943462500,0.9860960000,1,1.0000000000,3.7743380000,0.0304962000,0.0014812010,-0.0276704700,-0.1494161000,0.0767374900,0.9857922000,-0.0212439000,0.0023809050,-0.0235334500,-0.1387951000,0.0915840400,0.9860772000,0.0000000000,
4083736,1,1.0000000000,3.3329160000,-0.0308095400,0.0026807100,-0.0230405000,-0.1269397000,0.0790722200,0.9887537000,1,1.0000000000,3.8313450000,0.0305855900,0.0014049230,-0.0273887600,-0.1428379000,0.0774385400,0.9867120000,-0.0120375700,0.0022906340,-0.0243700100,-0.1318071000,0.0785685300,0.9881568000,0.0000000000,
4083744,1,1.0000000000,3.4828490000,-0.0307608500,0.0026676940,-0.0230701300,-0.1047682000,0.0901805800,0.9903995000,1,1.0000000000,3.8422550000,0.0306789600,0.0014161530,-0.0273649500,-0.1300517000,0.0753485000,0.9886400000,-0.0041349950,0.0021253200,-0.0249313500,-0.1157392000,0.0837564400,0.9897420000,0.0000000000,
4083753,1,1.0000000000,3.4049840000,-0.0307070300,0.0026482390,-0.0230272500,-0.0873120400,0.0906385000,0.9920490000,1,1.0000000000,3.6925960000,0.0307632600,0.0013827820,-0.0272025000,-0.1140152000,0.0723276300,0.9908427000,-0.0057307900,0.0021340640,-0.0247237100,-0.0981766000,0.0832074900,0.9916844000,0.0000000000,
4083761,1,1.0000000000,3.4145050000,-0.0306679300,0.0026537170,-0.0230411800,-0.0831614400,0.0883495000,0.9926119000,1,1.0000000000,3.6874850000,0.0308363500,0.0014115140,-0.0272696900,-0.0956277600,0.0640112500,0.9933569000,-0.0074491730,0.0021847690,-0.0246375000,-0.0878766000,0.0791789600,0.9929795000,0.0000000000,
4083769,1,1.0000000000,3.4250030000,-0.0306288200,0.0026591950,-0.0230551200,-0.0790415100,0.0897227900,0.9928254000,1,1.0000000000,3.7186740000,0.0308845200,0.0013795620,-0.0271416500,-0.0838330800,0.0744030100,0.9936982000,-0.0195454700,0.0024286350,-0.0237914100,-0.0798954400,0.0869755600,0.9930015000,0.0000000000,
4083778,1,1.0000000000,3.5377350000,-0.0305346200,0.0027091680,-0.0232395500,-0.0485537400,0.0941319900,0.9943750000,1,1.0000000000,3.7176360000,0.0309531400,0.0014965210,-0.0275190600,-0.0789957100,0.0641487300,0.9948089000,-0.0195715700,0.0024929510,-0.0240025700,-0.0539857600,0.0887911600,0.9945862000,0.0000000000,
4083786,1,1.0000000000,3.4573970000,-0.0304704600,0.0026663670,-0.0231006900,-0.0371555000,0.0792243800,0.9961641000,1,1.0000000000,3.7626340000,0.0310185900,0.0013964230,-0.0272226600,-0.0669557500,0.0743410200,0.9949826000,-0.0187106600,0.0024234920,-0.0238890200,-0.0428621600,0.0783085200,0.9960074000,0.0000000000,
4083794,1,1.0000000000,3.5066680000,-0.0304169800,0.0025485080,-0.0227136200,-0.0335393000,0.0867474700,0.9956656000,1,1.0000000000,3.6553340000,0.0310530000,0.0014196010,-0.0272864200,-0.0510260100,0.0727395300,0.9960448000,0.0041269690,0.0019141080,-0.0252833700,-0.0433813600,0.0788738200,0.9959403000,0.0000000000,
4083803,1,1.0000000000,3.5570070000,-0.0303634800,0.0024306640,-0.0223265600,-0.0298462700,0.0943758500,0.9950892000,1,1.0000000000,3.7790830000,0.0311159400,0.0014427490,-0.0273722200,-0.0337527400,0.0754858900,0.9965755000,0.0268642600,0.0015110630,-0.0270232900,-0.0334781300,0.0767830200,0.9964856000,0.0000000000,
4083811,1,1.0000000000,3.5293880000,-0.0302138700,0.0024405520,-0.0222657600,-0.0212098500,0.1003424000,0.9947268000,1,1.0000000000,3.8508300000,0.0311935900,0.0014087830,-0.0272154000,-0.0266879100,0.0717475900,0.9970657000,0.0309818700,0.0014123380,-0.0271983200,-0.0266724800,0.0718387100,0.9970596000,0.0000000000,
4083819,1,1.0000000000,3.3945920000,-0.0301180900,0.0023819430,-0.0220486000,-0.0033569730,0.1030438000,0.9946712000,1,1.0000000000,3.7972260000,0.0312833700,0.0014880680,-0.0274224300,-0.0191193700,0.0739902600,0.9970757000,0.0312693600,0.0014882660,-0.0274212000,-0.0191193400,0.0740054400,0.9970745000,0.0000000000,
4083828,1,1.0000000000,3.4511720000,-0.0300792100,0.0023979800,-0.0220788100,0.0040741220,0.1012885000,0.9948487000,1,1.0000000000,3.7937470000,0.0313695200,0.0014893950,-0.0274280600,-0.0074920710,0.0713654200,0.9974221000,0.0313657400,0.0014894560,-0.0274277300,-0.0074920710,0.0713654200,0.9974221000,0.0000000000,
4083836,1,1.0000000000,3.5095370000,-0.0300403100,0.0023918460,-0.0220486000,0.0118409400,0.1009379000,0.9948223000,1,1.0000000000,3.8021090000,0.0314720200,0.0014029080,-0.0271572600,0.0007782009,0.0733950300,0.9973027000,0.0314704100,0.0014029240,-0.0271571400,0.0007782009,0.0733950300,0.9973027000,0.0000000000,
4083844,1,1.0000000000,3.5642090000,-0.0299969500,0.0024029240,-0.0220788100,0.0182342800,0.0986939900,0.9949508000,1,1.0000000000,3.8145140000,0.0315055700,0.0014123380,-0.0271922200,0.0121004100,0.0842756300,0.9963690000,0.0315026700,0.0014123840,-0.0271919700,0.0121004000,0.0842907800,0.9963677000,0.0000000000,
4083853,1,1.0000000000,3.5070500000,-0.0299535800,0.0023918460,-0.0220486000,0.0242310300,0.0969088700,0.9949983000,1,1.0000000000,3.7992400000,0.0315679500,0.0013148960,-0.0269052100,0.0234528400,0.0863345000,0.9959902000,0.0315387400,0.0013153990,-0.0269029100,0.0234528400,0.0863345000,0.9959902000,0.0000000000,
4083861,1,1.0000000000,3.4897920000,-0.0299216300,0.0023868870,-0.0220542900,0.0330356300,0.0968943400,0.9947463000,1,1.0000000000,3.7285000000,0.0316235800,0.0012720490,-0.0267664000,0.0376740900,0.0886538900,0.9953498000,0.0297691700,0.0013056490,-0.0266244200,0.0375367100,0.0888979100,0.9953332000,0.0000000000,
4083869,1,1.0000000000,3.5394590000,-0.0297603800,0.0023444830,-0.0220060400,0.0796666300,0.0961004500,0.9921784000,1,1.0000000000,3.8038020000,0.0316606600,0.0013499760,-0.0270012800,0.0472872700,0.0796208400,0.9957030000,-0.0051381530,0.0019458160,-0.0240085200,0.0666966000,0.0895086400,0.9937503000,0.0000000000,
4083878,1,1.0000000000,3.4315800000,-0.0296994800,0.0024113920,-0.0222175000,0.0882266200,0.0890200800,0.9921147000,1,1.0000000000,3.7627560000,0.0316816400,0.0013520660,-0.0270148200,0.0545350300,0.0807496800,0.9952414000,-0.0259174500,0.0023461150,-0.0225130900,0.0861512900,0.0885164100,0.9923421000,0.0000000000,
4083886,1,1.0000000000,3.5178070000,-0.0297499900,0.0023364410,-0.0220454400,0.0831460700,0.0932169800,0.9921680000,1,1.0000000000,3.7126460000,0.0316558300,0.0013524930,-0.0270151700,0.0678111300,0.0697795500,0.9952550000,-0.0274006200,0.0022987980,-0.0222355800,0.0825505600,0.0923315100,0.9923005000,0.0000000000,
4083894,1,1.0000000000,3.5128330000,-0.0299276300,0.0022046970,-0.0219600700,0.0211182000,0.0867768800,0.9960039000,1,1.0000000000,3.7836000000,0.0314637600,0.0013773650,-0.0275101500,-0.0094147570,0.0596013600,0.9981779000,-0.0293195500,0.0021965030,-0.0220150500,0.0208282700,0.0865021800,0.9960339000,0.0000000000,
4083903,1,1.0000000000,3.4701840000,-0.0302139100,0.0023451840,-0.0227858400,-0.0505528900,0.0519262000,0.9973706000,1,1.0000000000,3.6887210000,0.0311006800,0.0012634740,-0.0276534600,-0.0724644900,0.0445559700,0.9963753000,-0.0253901800,0.0022600860,-0.0231687800,-0.0522772700,0.0513464700,0.9973117000,0.0000000000,
4083911,1,1.0000000000,3.4297790000,-0.0305056600,0.0023459780,-0.0232166300,-0.0924387500,0.0376591000,0.9950060000,1,1.0000000000,3.7504120000,0.0307818200,0.0011647340,-0.0275026900,-0.1247422000,0.0099946320,0.9921388000,0.0244935300,0.0012859340,-0.0270629300,-0.1214456000,0.0128327300,0.9925151000,0.0000000000,
4083919,1,1.0000000000,3.3319850000,-0.0308581900,0.0027959440,-0.0250522600,-0.1115577000,0.0129242800,0.9936739000,1,1.0000000000,3.6576540000,0.0305605300,0.0011134640,-0.0275580300,-0.1579149000,-0.0055542570,0.9874371000,0.0305604000,0.0011134640,-0.0275580200,-0.1579149000,-0.0055542570,0.9874371000,0.0000000000,
4083928,1,1.0000000000,3.3152470000,-0.0309549300,0.0027609410,-0.0252498600,-0.1146864000,-0.0132753000,0.9933131000,1,1.0000000000,3.7258000000,0.0304662900,0.0010150910,-0.0274442300,-0.1454021000,-0.0110321900,0.9893112000,0.0304662900,0.0010150910,-0.0274442300,-0.1454021000,-0.0110321900,0.9893112000,0.0000000000,
4083936,1,1.0000000000,3.3315430000,-0.0310137800,0.0025779730,-0.0247799100,-0.1332572000,-0.0216220600,0.9908456000,1,1.0000000000,3.5911710000,0.0303648100,0.0009188538,-0.0272995600,-0.1541006000,-0.0270694600,0.9876842000,0.0303648100,0.0009188538,-0.0272995600,-0.1541006000,-0.0270694600,0.9876842000,0.0000000000,
4083944,1,1.0000000000,3.4179380000,-0.0310548900,0.0021885220,-0.0236179400,-0.1798256000,-0.0306855600,0.9832198000,1,1.0000000000,3.7033840000,0.0302312800,0.0007400055,-0.0270513200,-0.2063006000,-0.0352786200,0.9778525000,0.0302312800,0.0007400055,-0.0270513200,-0.2063006000,-0.0352786200,0.9778525000,0.0000000000,
4083953,1,1.0000000000,3.4598240000,-0.0311052400,0.0020260620,-0.0231991300,-0.2015242000,-0.0327913700,0.9789345000,1,1.0000000000,3.7043150000,0.0301582000,0.0008187104,-0.0274730400,-0.2114886000,-0.0433658400,0.9764180000,0.0301582000,0.0008187104,-0.0274730400,-0.2114886000,-0.0433658400,0.9764180000,0.0000000000,
4083961,1,1.0000000000,3.4687190000,-0.0311265100,0.0021017460,-0.0234869100,-0.1662923000,-0.0416722600,0.9851956000,1,1.0000000000,3.7800750000,0.0301958800,0.0007454987,-0.0271912200,-0.1931786000,-0.0426488200,0.9802362000,0.0301958800,0.0007454987,-0.0271912200,-0.1931786000,-0.0426488200,0.9802362000,0.0000000000,
