eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
4185797,1,1.0000000000,3.6283720000,-0.0301060700,0.0017012330,-0.0224849200,0.0953833500,-0.0566562700,0.9938270000,1,1.0000000000,3.7819210000,0.0312197100,0.0003045349,-0.0274803600,0.0747078600,-0.0677802900,0.9948993000,0.0308994100,0.0003118286,-0.0274542700,0.0748143000,-0.0677341800,0.9948944000,0.0000000000,
4185806,1,1.0000000000,3.6500550000,-0.0301896400,0.0017052770,-0.0224707000,0.0894931900,-0.0440065400,0.9950148000,1,1.0000000000,3.8226470000,0.0311707200,0.0003339539,-0.0275912000,0.0576788300,-0.0641486300,0.9962721000,0.0259453000,0.0004507294,-0.0271551400,0.0603945300,-0.0624392100,0.9962198000,0.0000000000,
4185814,1,1.0000000000,3.6076810000,-0.0300940100,0.0018407440,-0.0228720100,0.0789804100,-0.0602729100,0.9950524000,1,1.0000000000,3.7986450000,0.0312008100,0.0002537689,-0.0274394200,0.0683448900,-0.0596625400,0.9958761000,0.0174967100,0.0006085816,-0.0264182600,0.0707248200,-0.0597994800,0.9957018000,0.0000000000,
4185822,1,1.0000000000,3.5737300000,-0.0298127600,0.0016508790,-0.0225383300,0.1640799000,-0.0689096100,0.9840372000,1,1.0000000000,3.9106900000,0.0313720100,0.0001101837,-0.0271341900,0.1391309000,-0.0601964600,0.9884427000,0.0090157930,0.0006731415,-0.0254549100,0.1482556000,-0.0633855000,0.9869156000,0.0000000000,
4185831,1,1.0000000000,3.6030270000,-0.0293366700,0.0015805210,-0.0225666100,0.2280452000,-0.0801248300,0.9703481000,1,1.0000000000,3.7589870000,0.0316324800,0.0000761261,-0.0272087900,0.1973140000,-0.0627449800,0.9783303000,0.0051212620,0.0007302857,-0.0251902300,0.2107108000,-0.0703132500,0.9750164000,0.0000000000,
4185839,1,1.0000000000,3.7232210000,-0.0289352400,0.0016173250,-0.0226462900,0.2905751000,-0.0813146400,0.9533908000,1,1.0000000000,3.9340970000,0.0319368100,0.0000839691,-0.0273002200,0.2643300000,-0.0864722000,0.9605479000,0.0107391400,0.0006179352,-0.0256795700,0.2734863000,-0.0846872300,0.9581406000,0.0000000000,
4185847,1,1.0000000000,3.7246860000,-0.0285441100,0.0016242980,-0.0227383900,0.3265872000,-0.0659186500,0.9428656000,1,1.0000000000,3.8764650000,0.0321813400,0.0001136932,-0.0273903500,0.3125034000,-0.0643622700,0.9477336000,0.0156799900,0.0005241852,-0.0261262400,0.3163323000,-0.0647893000,0.9464334000,0.0000000000,
4185856,1,1.0000000000,3.7679140000,-0.0284650100,0.0016213530,-0.0227612000,0.3472619000,-0.0838476300,0.9340122000,1,1.0000000000,3.7634280000,0.0322976900,0.0001290283,-0.0274155900,0.3297931000,-0.0781872000,0.9408099000,0.0177418800,0.0004865112,-0.0263006300,0.3339867000,-0.0795446100,0.9392154000,0.0000000000,
4185864,1,1.0000000000,3.7303160000,-0.0285135700,0.0016198880,-0.0227075500,0.2983292000,-0.0801098900,0.9510952000,1,1.0000000000,3.9182130000,0.0323091000,0.0001287537,-0.0273797200,0.2969394000,-0.0811471600,0.9514421000,0.0177154400,0.0004865418,-0.0262586800,0.2972729000,-0.0809024300,0.9513589000,0.0000000000,
4185872,1,1.0000000000,3.7680360000,-0.0285506500,0.0016013950,-0.0227011000,0.2873273000,-0.0626840400,0.9557791000,1,1.0000000000,3.9017940000,0.0323036200,0.0001133423,-0.0273559000,0.2724649000,-0.0832684300,0.9585558000,0.0149542200,0.0005375824,-0.0260288200,0.2767191000,-0.0774081100,0.9578280000,0.0000000000,
