phase,trial,magnification,delay_ms
baseline,0,0.9,-52.73266533066032
baseline,1,1.04,-80.24829659318549
baseline,2,0.8,-71.38196392785571
baseline,3,0.95,-64.96392785571216
baseline,4,0.85,-60.41883767535092
baseline,5,1.0,-60.7535070140286
baseline,6,1.04,-74.57074148296653
baseline,7,1.12,-76.29739478957828
baseline,8,1.04,-55.230060120239784
baseline,9,1.0,-60.06412825651344
baseline,10,0.9,-63.12324649298694
baseline,11,1.04,-77.82885771542944
baseline,12,1.16,-51.07454909819716
baseline,13,0.85,-69.10701402805574
baseline,14,1.2,-86.18557114228216
baseline,15,1.12,-53.989779559118354
baseline,16,1.0,-75.44849699398694
baseline,17,0.9,-46.45130260521141
baseline,18,0.9,-56.67935871743513
baseline,19,1.12,-70.38637274548934
baseline,20,1.04,-88.78557114228475
baseline,21,0.95,-41.58336673346667
baseline,22,1.12,-62.61763527054162
baseline,23,0.9,-52.998797595191824
baseline,24,1.0,-72.77194388777542
baseline,25,1.08,-64.93987975951899
baseline,26,0.9,-35.390380761521946
baseline,27,1.08,-57.07414829659231
baseline,28,0.95,-58.721442885771815
baseline,29,1.16,-89.84689378757545
baseline,30,0.95,-56.31863727454889
baseline,31,0.95,-55.901803607213935
baseline,32,1.2,-61.04228456914038
baseline,33,1.08,-71.74989979959977
baseline,34,1.08,-47.42444889779473
baseline,35,0.95,-44.706012024047034
baseline,36,1.08,-73.6613226452907
baseline,37,1.12,-60.95410821643198
baseline,38,1.08,-61.819639278558846
baseline,39,1.04,-56.975951903807456
baseline,40,0.8,-48.16032064128469
baseline,41,1.08,-55.1723446893782
baseline,42,1.12,-96.4208416833668
baseline,43,1.0,-49.34669338677311
baseline,44,0.95,-54.88977955911891
baseline,45,0.9,-34.44889779559129
baseline,46,1.12,-67.53507014028293
baseline,47,0.9,-55.40681362725251
baseline,48,1.04,-69.64328657314528
baseline,49,1.0,-62.064128256512625
baseline,50,1.08,-87.6653306613229
baseline,51,1.0,-50.392785571144024
baseline,52,0.95,-81.25050100200284
baseline,53,1.0,-58.09619238477185
baseline,54,1.04,-69.06412825651387
baseline,55,1.12,-82.56913827655264
aftereffect,0,1.04,-59.65931863727181
aftereffect,1,1.08,-35.04208416833734
aftereffect,2,0.95,-57.49098196393171
aftereffect,3,1.16,-55.35270541082091
aftereffect,4,0.9,-49.178356713428606
aftereffect,5,1.08,-89.03807615230427
aftereffect,6,0.9,-41.92384769539458
aftereffect,7,0.9,-65.62725450902451
aftereffect,8,0.9,-53.1663326653356
aftereffect,9,1.0,-59.248496993993555
aftereffect,10,1.08,-86.52505010020846
aftereffect,11,1.04,-76.77354709417733
aftereffect,12,1.0,-70.70541082164178
aftereffect,13,1.12,-54.889779559113435
aftereffect,14,0.9,-75.44288577153888
aftereffect,15,0.85,-50.00400801603433
aftereffect,16,1.0,-85.22044088176465
aftereffect,17,1.08,-47.86773547094184
aftereffect,18,1.0,-64.7134268537027
aftereffect,19,1.08,-60.91382765531922
aftereffect,20,0.85,-38.00200400801368
aftereffect,21,1.08,-70.96192384769874
aftereffect,22,1.08,-50.98797595190787
aftereffect,23,0.95,-71.49498997995887
aftereffect,24,1.2,-71.92785571141977
aftereffect,25,1.08,184.11222444890373
aftereffect,26,0.95,-65.62725450901358
aftereffect,27,1.0,-88.75551102204085
aftereffect,28,1.12,-69.13827655310621
aftereffect,29,0.9,-66.60521042084234
aftereffect,30,1.04,-82.2204408817622
aftereffect,31,1.12,-108.40881763528424
aftereffect,32,0.95,-52.484969939885346
aftereffect,33,0.95,-54.88977955911891
aftereffect,34,1.12,-181.9158316633373
aftereffect,35,1.12,-72.07615230460809
aftereffect,36,0.95,-101.86372745491786
aftereffect,37,1.0,-77.69138276553844
aftereffect,38,1.16,-126.12625250502258
aftereffect,39,1.04,-84.11222444888635
aftereffect,40,1.2,-65.91583166332629
aftereffect,41,1.12,-90.39278557115185
aftereffect,42,1.04,-68.41282565130793
aftereffect,43,1.04,-61.56913827655574
aftereffect,44,1.0,-51.65531062123851
aftereffect,45,1.12,-60.2464929859758
aftereffect,46,0.8,-34.028056112223574
aftereffect,47,1.04,-70.65330661322889
aftereffect,48,1.0,-93.47494989980463
aftereffect,49,0.95,-105.83567134267606
aftereffect,50,0.95,-63.37675350701402
aftereffect,51,1.12,-64.6412825651327
aftereffect,52,0.9,-59.739478957916646
aftereffect,53,1.04,-64.74348697394565
aftereffect,54,0.9,-43.75150300601638
aftereffect,55,0.8,-75.81162324648919
