trial,timestamp,magnification,radial,response
0,550.3362,0.9,0,0
1,556.2137,1.04,0,1
2,561.0428,0.8,0,0
3,565.8511,0.95,0,0
4,570.3401,0.85,0,0
5,610.0144,1,0,1
6,614.7567,1.04,0,1
7,619.8636,1.12,0,0
8,625.6186,1.04,0,0
9,634.4071,1,0,1
10,674.5612,0.9,0,0
11,682.8729,1.04,0,1
12,687.5332,1.16,0,0
13,693.1641,0.85,0,0
14,698.2198,1.2,0,0
15,740.5058,1.12,0,0
16,745.1293,1,0,1
17,749.9798,0.9,0,0
18,755.8882,0.9,0,0
19,760.6341,1.12,0,0
20,802.7356,1.04,0,1
21,811.3781,0.95,0,0
22,816.4703,1.12,0,0
23,821.6013,0.9,0,0
24,826.3277,1,0,1
25,865.5961,1.08,0,0
26,869.8698,0.9,0,0
27,875.0117,1.08,0,0
28,879.3463,0.95,0,1
29,885.1302,1.16,0,0
30,924.3199,0.95,0,0
31,928.6099,0.95,0,0
32,932.7704,1.2,0,0
33,937.1407,1.08,0,1
34,941.8347,1.08,0,1
35,984.554,0.95,0,0
36,990.4423,1.08,0,1
37,994.997,1.12,0,0
38,999.6376,1.08,0,0
39,1004.157,1.04,0,1
40,1043.545,0.8,0,0
41,1048.887,1.08,0,1
42,1052.998,1.12,0,0
43,1059.26,1,0,1
44,1063.4,0.95,0,0
45,1102.073,0.9,0,0
46,1106.807,1.12,0,0
47,1111.42,0.9,0,0
48,1116.464,1.04,0,1
49,1120.968,1,0,1
50,1160.997,1.08,0,0
51,1165.093,1,0,1
52,1172.596,0.95,0,1
53,1177.63,1,0,1
54,1182.137,1.04,0,1
55,1223.475,1.12,0,0
0,2452.541,1.04,0,1
1,2456.318,1.08,0,0
2,2460.756,0.95,0,0
3,2464.724,1.16,0,0
4,2470.062,0.9,0,0
5,2509.7,1.08,0,1
6,2513.631,0.9,0,0
7,2518.174,0.9,0,0
8,2522.15,0.9,0,0
9,2526.923,1,0,1
10,2567.039,1.08,0,1
11,2571.009,1.04,0,1
12,2575.074,1,0,1
13,2579.819,1.12,0,0
14,2584.265,0.9,0,0
15,2624.761,0.85,0,0
16,2628.771,1,0,1
17,2632.69,1.08,0,1
18,2637.661,1,0,1
19,2641.573,1.08,0,0
20,2680.025,0.85,0,0
21,2691.503,1.08,0,1
22,2698.653,1.08,0,1
23,2704.095,0.95,0,1
24,2709.815,1.2,0,0
25,2749.391,1.08,0,1
26,2753.738,0.95,0,1
27,2759.831,1,0,1
28,2764.174,1.12,0,0
29,2771.357,0.9,0,0
30,2813.042,1.04,0,0
31,2816.953,1.12,0,0
32,2822.147,0.95,0,1
33,2826.767,0.95,0,0
34,2832.736,1.12,0,1
35,2871.773,1.12,0,0
36,2878.924,0.95,0,0
37,2883.661,1,0,1
38,2888.198,1.16,0,0
39,2893.293,1.04,0,0
40,2931.949,1.2,0,0
41,2935.68,1.12,0,0
42,2940.158,1.04,0,1
43,2944.299,1.04,0,1
44,2950.032,1,0,1
45,2988.887,1.12,0,0
46,2992.969,0.8,0,0
47,2997.527,1.04,0,1
48,3002.869,1,0,1
49,3008.21,0.95,0,0
50,3046.812,0.95,0,0
51,3050.677,1.12,0,1
52,3054.576,0.9,0,0
53,3058.591,1.04,0,1
54,3062.828,0.9,0,0
55,3101.834,0.8,0,0
