trial,timestamp,magnification,radial,response
0,522.0288,1,0,1
1,529.9479,1.15,0,0
2,537.5107,1,0,0
3,544.9074,1.1,0,1
4,551.9157,1.05,0,0
5,583.8982,0.95,0,0
6,590.9063,1.025,0,0
7,598.0584,0.9,0,0
8,605.1886,0.95,0,0
9,612.5298,0.975,0,1
10,643.0026,1.15,0,1
11,649.7665,0.9,0,0
12,655.908,0.975,0,0
13,662.605,1.1,0,1
14,669.4573,1.15,0,1
15,702.8801,1.1,0,0
16,711.554,1.05,0,0
17,717.74,1.15,0,1
18,723.9929,1.15,0,1
19,730.3344,1.025,0,1
20,761.1387,1.15,0,1
21,767.5923,1.1,0,1
22,773.822,0.9,0,0
23,780.1525,0.9,0,0
24,786.4608,1.025,0,1
25,820.0592,1,0,1
26,826.2468,0.975,0,0
27,833.3646,0.975,0,0
28,840.1059,1.025,0,1
29,846.5918,1.05,0,0
30,877.6653,0.975,0,0
31,885.6952,1,0,0
32,892.2146,1.1,0,1
33,898.8227,1,0,1
34,904.9087,1.05,0,0
35,938.3113,1,0,0
36,945.5754,0.95,0,1
37,952.2496,0.9,0,0
38,959.1691,1.025,0,1
39,965.5105,1.025,0,0
40,998.8557,0.9,0,0
41,1005.408,0.9,0,0
42,1011.794,1.05,0,1
43,1018.369,1,0,0
44,1024.789,1.1,0,0
45,1061.449,0.9,0,1
46,1069.968,0.975,0,1
47,1076.52,0.95,0,0
48,1084.539,1.05,0,1
49,1091.269,1.1,0,0
50,1126.322,1.15,0,1
51,1133.375,0.975,0,1
52,1140.95,0.95,0,0
53,1147.146,1.025,0,0
54,1153.466,0.95,0,0
55,1187.044,1.05,0,0
56,1194.607,1.1,0,1
57,1201.037,1.05,0,1
58,1208.99,0.975,0,1
59,1214.809,1,0,0
60,1250.278,0.95,0,1
61,1256.12,1.025,0,0
62,1262.372,1.15,0,1
63,1269.269,0.95,0,1
0,2180.1,0.95,0,1
1,2187.353,1,0,0
2,2193.539,0.975,0,0
3,2199.492,0.975,0,0
4,2205.334,1.15,0,1
5,2235.488,1,0,0
6,2242.962,1,0,0
7,2250.037,1.05,0,0
8,2255.967,0.95,0,0
9,2262.321,1.025,0,1
10,2293.913,1.1,0,0
11,2300.41,1.05,0,0
12,2306.896,1.025,0,1
13,2313.038,0.95,0,0
14,2319.001,1.05,0,1
15,2349.195,0.95,0,1
16,2354.87,0.9,0,0
17,2360.778,1,0,1
18,2369.618,1.025,0,0
19,2379.914,1.025,0,0
20,2410.135,1.05,0,1
21,2416.499,1.15,0,0
22,2422.497,0.9,0,0
23,2428.594,1,0,1
24,2434.836,1.05,0,0
25,2467.497,1.15,0,1
26,2473.572,1.1,0,1
27,2481.002,1.05,0,1
28,2487.288,0.975,0,0
29,2493.886,1.15,0,0
30,2524.759,0.95,0,0
31,2530.656,0.9,0,0
32,2536.376,0.9,0,0
33,2542.318,1,0,1
34,2548.237,0.975,0,0
35,2578.563,1.025,0,1
36,2584.338,1.1,0,1
37,2590.003,0.9,0,0
38,2596.199,1,0,1
39,2602.385,0.9,0,0
40,2633.454,1.025,0,1
41,2639.785,1.05,0,1
42,2645.76,0.975,0,1
43,2651.601,1.15,0,1
44,2657.577,1.1,0,1
45,2694.599,1.1,0,0
46,2700.708,0.95,0,0
47,2706.539,1.1,0,1
48,2715.523,1.1,0,1
49,2723.786,1.15,0,1
50,2755.043,1.05,0,1
51,2760.986,1.15,0,1
52,2766.916,1.1,0,0
53,2773.513,0.975,0,1
54,2781.887,1,0,0
55,2813.328,1.025,0,1
56,2818.548,0.95,0,0
57,2823.546,1.025,0,1
58,2828.732,0.975,0,0
59,2836.396,1.15,0,1
60,2865.904,0.9,0,0
61,2871.357,0.95,0,0
62,2876.921,0.9,0,0
63,2882.774,0.975,0,0
