trial,timestamp,magnification,radial,response
0,908.9742,1.1,0,1
1,913.0503,0.975,0,0
2,916.8707,1.15,0,0
3,920.6024,0.9,0,0
4,925.2117,1,0,1
5,952.0344,1.05,0,1
6,955.9218,1.1,0,0
7,959.6819,0.9,0,0
8,963.3406,0.9,0,0
9,966.9609,1.1,0,0
10,993.5831,0.9,0,0
11,997.4854,1,0,1
12,1001.161,1.1,0,0
13,1005.337,0.975,0,0
14,1009.124,0.9,0,0
15,1035.827,0.9,0,0
16,1039.648,1.1,0,0
17,1043.722,1.05,0,1
18,1047.699,0.95,0,0
19,1052.053,1,0,1
20,1078.744,1.05,0,1
21,1082.875,1.025,0,1
22,1087.24,1,0,1
23,1091.194,0.9,0,0
24,1095.047,1.025,0,1
25,1121.975,1,0,1
26,1125.995,1,0,1
27,1130.149,1,0,1
28,1133.958,1.15,0,0
29,1137.823,0.975,0,0
30,1164.458,0.975,0,0
31,1168.257,1.025,0,1
32,1172.21,0.975,0,0
33,1176.12,0.95,0,0
34,1179.863,1.15,0,0
35,1207.885,1.05,0,1
36,1212.793,0.975,0,0
37,1219.947,1.15,0,0
38,1229.564,1.05,0,1
39,1233.651,1.15,0,0
40,1260.371,1.15,0,0
41,1264.405,1.05,0,1
42,1268.442,1.025,0,1
43,1272.312,1.025,0,1
44,1276.543,1.05,0,0
45,1302.966,0.95,0,0
46,1306.813,1.025,0,1
47,1310.812,0.975,0,0
48,1314.732,0.95,0,0
49,1318.797,1.025,0,1
50,1345.26,1.05,0,1
51,1349.082,0.9,0,0
52,1352.969,0.95,0,0
53,1356.741,1.1,0,0
54,1360.599,1.025,0,1
55,1386.978,1.15,0,0
56,1390.847,0.975,0,0
57,1394.835,0.95,0,0
58,1398.811,0.95,0,0
59,1403.009,1.15,0,0
60,1429.536,1.1,0,0
61,1433.417,0.95,0,0
62,1437.549,1,0,1
63,1441.291,1.1,0,0
