eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
3393055,1,1.0000000000,2.8176880000,-0.0331348100,0.0014066620,-0.0261539600,0.2801999000,0.0971689100,0.9550111000,1,1.0000000000,2.9204100000,0.0333697500,-0.0039394990,-0.0264014000,0.2893406000,0.1028302000,0.9516869000,-0.0037489780,-0.0009555970,-0.0262632900,0.2842423000,0.0996709600,0.9535576000,0.0000000000,
3393064,1,1.0000000000,2.7677760000,-0.0331548300,0.0014144290,-0.0261464900,0.2732114000,0.1007853000,0.9566597000,1,1.0000000000,2.9081120000,0.0333593600,-0.0039351050,-0.0263839400,0.2745241000,0.0998089100,0.9563863000,-0.0031883700,-0.0009956819,-0.0262534700,0.2738062000,0.1003427000,0.9565362000,0.0000000000,
3393072,1,1.0000000000,2.7796940000,-0.0331667500,0.0014352570,-0.0261251700,0.2545815000,0.1038834000,0.9614554000,1,1.0000000000,2.9291080000,0.0333572300,-0.0039193420,-0.0263711900,0.2733628000,0.0920720500,0.9574944000,-0.0026840670,-0.0010183260,-0.0262379000,0.2632028000,0.0984817100,0.9597008000,0.0000000000,
3393080,1,1.0000000000,2.6672360000,-0.0331842700,0.0014687960,-0.0260952800,0.2444469000,0.0937199200,0.9651229000,1,1.0000000000,2.9620210000,0.0333581900,-0.0038983310,-0.0263525400,0.2564728000,0.0911265900,0.9622461000,0.0024008640,-0.0014013980,-0.0262328500,0.2508877000,0.0923319100,0.9636027000,0.0000000000,
3393089,1,1.0000000000,2.7596130000,-0.0332135500,0.0015067290,-0.0260829200,0.2396252000,0.1013036000,0.9655658000,1,1.0000000000,2.9376830000,0.0333593700,-0.0038676460,-0.0263388100,0.2542425000,0.0846712200,0.9634270000,0.0032015080,-0.0014330290,-0.0262228900,0.2476369000,0.0922096200,0.9644549000,0.0000000000,
3393097,1,1.0000000000,2.7232510000,-0.0332519400,0.0015245820,-0.0260569000,0.2278911000,0.0914768600,0.9693801000,1,1.0000000000,2.9801180000,0.0333489400,-0.0038416750,-0.0263209500,0.2434561000,0.0783240400,0.9667442000,0.0037002410,-0.0014527740,-0.0262034000,0.2365443000,0.0841836400,0.9679669000,0.0000000000,
3393105,1,1.0000000000,2.7551420000,-0.0332821200,0.0015299070,-0.0260413100,0.2131820000,0.0927283200,0.9726021000,1,1.0000000000,2.9400330000,0.0333270300,-0.0038287360,-0.0262943400,0.2264263000,0.0688327500,0.9715931000,0.0039206850,-0.0014630130,-0.0261826300,0.2206122000,0.0793917200,0.9721251000,0.0000000000,
3393114,1,1.0000000000,2.7563630000,-0.0333193100,0.0015264590,-0.0260129300,0.2077971000,0.0877697800,0.9742263000,1,1.0000000000,2.9619900000,0.0332996400,-0.0038246610,-0.0262797000,0.2100702000,0.0726021600,0.9749869000,0.0034410860,-0.0014262850,-0.0261601300,0.2090613000,0.0794069700,0.9746733000,0.0000000000,
3393122,1,1.0000000000,2.7495570000,-0.0332645600,0.0015663300,-0.0260012700,0.2000594000,0.0903631700,0.9756079000,1,1.0000000000,2.9729160000,0.0333698100,-0.0037797550,-0.0262955200,0.2157447000,0.0864718200,0.9726135000,0.0038163000,-0.0014086610,-0.0261650100,0.2087876000,0.0881964700,0.9739760000,0.0000000000,
3393130,1,1.0000000000,2.8488620000,-0.0330448900,0.0017242740,-0.0261058200,0.2413662000,0.1256880000,0.9622603000,1,1.0000000000,2.9040370000,0.0335129900,-0.0036211550,-0.0263791400,0.2723850000,0.1195833000,0.9547284000,0.0024977720,-0.0011302340,-0.0262517700,0.2579666000,0.1224372000,0.9583644000,0.0000000000,
3393139,1,1.0000000000,2.7056880000,-0.0328494300,0.0019058690,-0.0261678900,0.2596329000,0.1569547000,0.9528673000,1,1.0000000000,2.9900360000,0.0336077700,-0.0034265440,-0.0264457600,0.2867914000,0.1636214000,0.9439167000,0.0017159730,-0.0008675995,-0.0263124100,0.2737909000,0.1604476000,0.9483117000,0.0000000000,
