trial,timestamp,magnification,radial,response
0,24.2947,0.95,0,0
1,30.11417,1,0,1
2,42.37555,1,0,1
3,48.67253,1,0,0
4,54.54789,0.9,0,0
5,84.59316,0.9,0,1
6,90.59045,1.1,0,0
7,96.95471,0.95,0,1
8,102.5627,0.9,0,0
9,108.7939,1,0,1
10,137.5035,0.95,0,1
11,142.6678,1.025,0,0
12,147.8767,1,0,1
13,153.1299,0.95,0,1
14,158.7051,0.975,0,1
15,188.0132,0.9,0,0
16,194.4774,1.025,0,1
17,200.008,0.975,0,1
18,204.5726,1.15,0,0
19,209.8704,0.975,0,1
20,237.6752,0.95,0,1
21,242.5506,1.15,0,0
22,247.0929,1.025,0,1
23,251.7464,0.975,0,1
24,256.0669,0.9,0,0
25,283.8027,1.1,0,0
26,288.1787,1.05,0,0
27,292.5211,1.15,0,0
28,297.7964,1.05,0,1
29,303.3495,1.1,0,0
30,332.2589,1.1,0,0
31,336.5681,1.025,0,1
32,340.9328,1,0,1
33,345.2641,0.95,0,1
34,349.6512,1.05,0,0
35,377.2831,1.15,0,0
36,381.6587,1.1,0,1
37,385.9121,1.1,0,0
38,389.9881,1.15,0,0
39,394.1643,1.05,0,1
40,421.3896,1.15,0,0
41,425.4326,0.9,0,0
42,429.8635,1.1,0,1
43,433.7728,1.025,0,1
44,437.6601,1.15,0,0
45,464.5612,1.15,0,1
46,468.6511,1.05,0,1
47,472.2717,0.975,0,1
48,476.2816,1.05,0,1
49,480.2238,1.05,0,1
50,507.2976,0.95,0,1
51,511.8954,1.05,0,1
52,515.7382,1.025,0,1
53,519.6141,0.9,0,0
54,523.3237,1.025,0,1
55,550.2927,0.95,0,1
56,553.9874,1.025,0,1
57,557.6192,0.975,0,1
58,561.3286,0.975,0,1
59,564.7936,1.1,0,0
60,591.2409,1,0,1
61,594.7283,0.975,0,1
62,598.0044,1,0,1
63,601.7918,0.9,0,0
0,1509.453,1.1,0,1
1,1513.163,1.1,0,1
2,1516.994,1,0,1
3,1521.17,1.025,0,1
4,1525.068,1.1,0,0
5,1553.344,1.025,0,1
6,1557.176,1.1,0,1
7,1560.374,1,0,1
8,1564.15,1,0,1
9,1567.449,0.9,0,0
10,1594.258,0.9,0,0
11,1597.723,0.975,0,1
12,1600.922,1.15,0,0
13,1605.02,1.15,0,0
14,1608.719,1.15,0,0
15,1636.709,1.1,0,1
16,1640.119,1.05,0,1
17,1644.006,1.05,0,1
18,1650.947,0.9,0,0
19,1654.58,1.025,0,1
