phase,topup_round,t_within_phase,amplitude_deg,duration_ms,peak_velocity
baseline,0,28.29425000000001,8.950849703125602,27.87999999999613,321.0491285196142
baseline,0,29.542530000000003,12.549290550753355,44.31999999999903,397.35027453258914
baseline,0,29.648479999999996,6.844217764570608,38.58000000001027,369.72870237935547
baseline,0,29.72078000000001,2.71843972473265,21.639999999990778,155.93383827829427
baseline,0,30.575620000000004,3.1867598322794635,22.589999999993893,141.0694923541534
baseline,0,31.296499999999998,10.442867659186394,84.99000000000478,122.8717220753713
baseline,0,31.85545000000001,22.190514326386843,86.5699999999947,909.8539011175416
baseline,0,32.52774,13.070122337297978,25.77000000000851,745.055035533779
baseline,0,32.9772,4.372025902930183,43.99999999999693,173.62869404706268
baseline,0,33.49697000000001,4.407028605263497,33.31000000000017,132.30347058731533
baseline,0,35.085510000000006,4.292646098072913,22.009999999994534,264.6023430979968
baseline,0,35.307570000000005,3.08999569066665,21.51999999999532,153.37155514113078
baseline,0,35.47610000000001,3.446648248067259,31.639999999995894,115.31772111619678
baseline,0,36.90707000000001,5.670994161146897,165.5499999999961,382.8243050714964
baseline,0,37.975410000000004,11.315633488909988,52.80000000000484,386.86043741199916
baseline,0,39.09435,6.717430316376225,21.72000000000196,323.47691689099156
baseline,0,39.29550000000001,10.957410726076859,31.689999999997553,446.7963782364877
baseline,0,39.37165000000001,10.013029018039878,78.63999999999294,291.8671110913767
baseline,0,40.31649000000001,6.244076008461951,51.69999999999675,375.3220411645455
baseline,0,41.04939000000001,3.971038972050664,33.00000000000125,192.82048115733699
baseline,0,41.559990000000006,16.73986129984891,55.499999999995,506.7802816512695
baseline,0,41.67149,3.7491030206328837,21.90000000000225,454.13617100510106
baseline,0,41.84859000000001,8.786846663072001,44.399999999996,549.1595266899851
baseline,0,42.05989,7.031926878928678,55.19999999999925,1052.351727027309
baseline,0,42.74939,3.8837337086743307,21.200000000007435,237.01683553453984
baseline,0,44.66939,135.91894075028213,23.300000000006094,11160.959279311932
baseline,0,44.98039000000001,2.2553175711708384,27.50000000000341,89.56532056516745
baseline,0,45.32479,7.311141577615281,22.30000000000132,390.61126196134666
baseline,0,45.357890000000005,2.3030646044458614,78.00000000000296,1660.376166296933
baseline,0,45.47099000000001,113.06335313839436,20.20000000000266,11126.461335310436
baseline,0,45.58039,4.298012214549946,24.399999999999977,222.92425134729186
baseline,0,45.62479000000001,4.0480889044054535,32.99999999998704,135.45249752422725
baseline,0,45.73599000000001,3.3683945343023307,21.79999999999893,186.0160982671033
baseline,0,45.80319000000001,3.213195429790959,21.299999999996544,159.65258053467173
baseline,0,47.03539,32.69603930296704,122.30000000000985,527.3111266842034
baseline,0,47.44599,4.999585711476117,22.30000000000132,225.06675366902638
baseline,0,47.83499000000001,6.936115963948552,44.19999999998936,229.62294992124325
baseline,0,49.17329,13.786653331389568,77.20000000000482,196.75783157496753
baseline,0,49.422990000000006,13.670401818339116,31.899999999993156,428.5392419542962
baseline,0,49.856590000000004,6.997887058409972,27.60000000000673,255.93343538421317
baseline,0,51.10039000000001,5.657842875036338,21.99999999999136,1021.8726628738502
baseline,0,51.14739000000001,14.700741356492964,30.9999999999917,1079.3802237038267
baseline,0,51.316390000000006,4.526330402480834,39.00000000000148,142.41366058032023
baseline,0,51.53329,17.754031277803435,33.20000000000789,812.6675762922958
baseline,0,52.338190000000004,7.021505503856307,26.799999999994384,261.996474024544
baseline,0,52.55519,4.604446558733928,44.49999999999932,131.6672825617238
baseline,0,53.265890000000006,29.656285169319595,122.19999999999231,995.7838761568295
baseline,0,53.61019000000001,4.307616769630609,22.09999999999468,204.77052507555052
baseline,1,84.92739,6.775786152314932,44.9000000000126,459.4394048442162
baseline,1,85.59399000000002,5.451497226048149,22.599999999982856,369.75398310032335
baseline,1,86.22669000000002,6.972567721979703,22.40000000000464,419.4868146771433
baseline,1,88.03699,5.173694972316678,33.70000000001028,153.52210600341544
baseline,1,88.61539000000002,12.671349360634531,21.6999999999814,583.9331502601564
baseline,1,90.37059000000002,6.22296290272471,32.199999999988904,635.7105534135453
baseline,1,92.00509000000002,12.606225913189782,45.59999999997899,610.3040888959162
baseline,1,93.07969,22.07867970130657,60.80000000000041,711.4251784515634
baseline,1,93.29069000000001,12.006147281166058,55.499999999995,702.9488876981645
baseline,1,93.42409,4.27258212187224,32.90000000001214,190.93901567357776
baseline,1,93.71299000000002,9.145240814234265,33.299999999997,447.6194911179511
