phase,trial,magnification,head_amp,eye_amp
aftereffect,23,1.04,16.57381545690815,15.977716299989147
aftereffect,24,0.9,16.942841747792656,13.380359799428284
aftereffect,25,1.08,18.075051132416235,18.50990618657444
aftereffect,26,1.0,18.306959067371462,17.486257939904252
aftereffect,27,1.2,17.22464249584598,17.208071475194895
aftereffect,28,0.9,18.49842269503298,16.138527469927116
aftereffect,29,1.08,15.121353416110427,13.81654030209776
aftereffect,30,1.0,17.028056264307846,15.905088496209933
aftereffect,31,0.9,17.860860723341744,14.243339620258698
aftereffect,32,1.12,17.228467973803806,18.149579049131617
aftereffect,33,0.95,16.742877288830496,14.399667161313754
aftereffect,34,1.12,15.985168489064005,14.826870204961937
aftereffect,35,1.0,17.31714414427657,15.976987716283805
aftereffect,36,1.12,17.367594942588482,16.49003061439426
aftereffect,37,0.95,16.707891859819856,13.916545175998994
aftereffect,38,1.12,16.273175435621535,15.970255551680218
aftereffect,39,0.9,16.430511866923553,14.12418550975458
aftereffect,40,1.04,15.277519417619757,13.308814977985769
aftereffect,41,1.12,17.11768380137738,17.93519707678407
aftereffect,42,1.16,17.546056402373086,17.229222072882898
aftereffect,43,1.08,18.311204424174846,17.794659898059706
aftereffect,44,0.8,18.31619823121908,13.651889765571001
aftereffect,45,0.9,17.671082275732324,13.710443401657745
aftereffect,46,0.9,17.41102043392501,14.459430231380168
aftereffect,47,1.12,17.500226999725136,17.492313400424077
aftereffect,48,1.0,18.37552216828518,17.801044170898663
aftereffect,49,1.08,16.549160990475958,14.699930975127169
aftereffect,50,1.04,15.950712214166778,13.740798786278647
aftereffect,51,1.04,16.81195399412108,16.43568281360137
aftereffect,52,1.0,17.437751083923732,16.380418003949856
aftereffect,53,1.08,17.35858624355682,17.237735583271785
aftereffect,54,1.04,15.966231962454168,14.544485928156385
aftereffect,55,1.04,18.559860291869928,18.052427770194434
