time_s,head_amp,eye_amp,gain_paired,gain_lstsq,gain,phase,round
40.71838,44.75134563087529,32.09370480846927,0.7171561962223291,-0.16595941351992863,-0.16595941351992863,baseline,0
99.14269000000002,35.93942962374452,44.11000518693936,1.227342939182226,-0.11110330367063534,-0.11110330367063534,baseline,1
160.75199,42.503773502188665,14.925245190937995,0.35115106168560406,-0.19002730308637616,-0.19002730308637616,baseline,2
217.68198999999998,27.825744209875207,31.25187711962849,1.1231281680702494,-0.18794396259209328,-0.18794396259209328,baseline,3
277.66749,55.023763259143834,41.18768499991358,0.7485435848132219,-0.18261925005117302,-0.18261925005117302,baseline,4
334.33069,42.98528642686043,26.542783795688308,0.6174853304944453,-0.18645098068355376,-0.18645098068355376,baseline,5
393.97669,41.65350641835582,42.21718332965988,1.0135325200630807,-0.15531940685396411,-0.15531940685396411,baseline,6
457.64119,51.33956451836973,55.232906943463696,1.0758351275788656,-0.129398040625644,-0.129398040625644,baseline,7
518.7986900000001,44.08351141527066,31.488587360766974,0.7142939922399021,-0.12674550717520291,-0.12674550717520291,baseline,8
580.94639,46.94798593258547,36.97830194030481,0.7876440534297566,-0.13639080692686995,-0.13639080692686995,baseline,9
646.07529,28.90792246269159,49.1641788692288,1.7007164362184735,-0.1601662894795412,-0.1601662894795412,baseline,10
41.89499999999998,31.589563930829048,40.06433178720941,1.2682774562807315,-0.1460292616108046,-0.1460292616108046,aftereffect,0
99.97899999999981,46.37238566506697,20.768544354072052,0.4478644791768243,-0.16958021463602094,-0.16958021463602094,aftereffect,1
158.22299999999996,47.68770981694976,24.977522803336754,0.523772747720817,-0.21175757029350858,-0.21175757029350858,aftereffect,2
219.81600000000003,52.462957385563776,33.45954114909043,0.637774590234928,-0.2126033961508414,-0.2126033961508414,aftereffect,3
278.85000000000014,41.78810962936097,20.135295567193232,0.48184269989197753,-0.19756889463207905,-0.19756889463207905,aftereffect,4
341.82500000000005,36.57685280990795,37.21853239743133,1.0175433242126717,-0.1801465629844782,-0.1801465629844782,aftereffect,5
401.914,36.54725488023921,32.17377960918249,0.8803336861991947,-0.14310034633411314,-0.14310034633411314,aftereffect,6
469.432,37.5147745368478,31.701528225805284,0.8450411502451487,-0.1516617050035242,-0.1516617050035242,aftereffect,7
528.2969999999998,60.41286840841906,21.84839650324063,0.3616513679756988,-0.16523761987607793,-0.16523761987607793,aftereffect,8
590.392,45.86933976628587,29.170091865879368,0.6359387777218344,-0.19604253819017106,-0.19604253819017106,aftereffect,9
649.4280000000001,49.49901104700504,14.586521029528521,0.29468307994430293,-0.14911728539830924,-0.14911728539830924,aftereffect,10
15.0,49.54381511359044,15.7673189778821,0.3182499963261195,-0.17063714658647078,-0.17063714658647078,adaptation,-1
25.0,42.58148706324019,28.603187100017692,0.6717282338575323,-0.12021246940327684,-0.12021246940327684,adaptation,-1
35.0,41.5343068317255,31.035713221811662,0.7472307976042925,-0.10401030911973701,-0.10401030911973701,adaptation,-1
45.0,44.76734567012262,40.2892617085618,0.8999698576154481,-0.09238482019460723,-0.09238482019460723,adaptation,-1
55.0,43.058195697340736,42.93048149658973,0.9970339165707565,-0.20451671485879422,-0.20451671485879422,adaptation,-1
65.0,42.54437255695753,37.09473844470292,0.871907051750293,-0.22040426803902216,-0.22040426803902216,adaptation,-1
75.0,40.14638734217871,45.81453344173425,1.1411869529191847,-0.17854889679664707,-0.17854889679664707,adaptation,-1
85.0,48.09708821127527,33.8197883148749,0.7031566685765941,-0.14966276798913855,-0.14966276798913855,adaptation,-1
95.0,46.410572754116814,29.58661896759846,0.6374973893200662,-0.1365078423672147,-0.1365078423672147,adaptation,-1
