phase,trial,magnification,delay_ms
baseline,0,1.04,-78.45498997996005
baseline,1,0.95,-74.050501002004
baseline,2,1.0,-80.86725450901803
baseline,3,1.0,-63.966733466934045
baseline,4,1.12,-97.76064128256535
baseline,5,1.12,-68.1571142284568
baseline,6,0.95,-67.92825651302601
baseline,7,0.9,-59.331462925851454
baseline,8,0.8,-76.06693386773497
baseline,9,1.08,-67.65330661322649
baseline,10,1.12,-68.54308617234464
baseline,11,0.95,-95.24769539078174
baseline,12,1.08,-68.94068136272534
baseline,13,1.04,-95.6713426853708
baseline,14,0.95,-60.565130260520974
baseline,15,1.12,-71.03567134268548
baseline,16,0.85,-73.7122244488979
baseline,17,0.95,-98.04408817635232
baseline,18,1.0,-58.98336673346645
baseline,19,1.08,-90.67935871743435
baseline,20,1.08,-71.84368737474976
baseline,21,1.12,-84.31262525050099
baseline,22,1.0,-96.29639278557136
baseline,23,0.9,-69.5416833667337
baseline,24,1.12,-117.88597194388646
baseline,25,0.95,-81.4725450901804
baseline,26,1.04,-81.16853707414809
baseline,27,1.04,-73.52164328657403
baseline,28,1.0,-51.25991983967895
baseline,29,1.08,-87.95831663326659
baseline,30,0.9,-65.46212424849662
baseline,31,1.0,-56.44408817635324
baseline,32,1.16,-86.76953907815587
baseline,33,0.85,-66.97595190380795
baseline,34,1.04,-81.50581162324684
baseline,35,1.04,-105.45250501001942
baseline,36,0.95,-48.51823647294588
baseline,37,0.9,-87.78036072144296
baseline,38,1.04,-71.86112224448932
baseline,39,1.2,-92.04809619238412
baseline,40,1.2,-69.26392785571066
baseline,41,0.9,-65.49899799599237
baseline,42,0.8,-81.92224448897583
baseline,43,1.12,-75.68256513025995
baseline,44,1.08,-77.70761523046235
baseline,45,1.04,-76.56513026052131
baseline,46,0.9,-82.21042084168364
baseline,47,1.0,-85.8965931863727
baseline,48,0.9,-71.72404809619329
baseline,49,1.16,-65.65531062124285
baseline,50,1.0,-73.22464929859667
baseline,51,0.95,-70.73146292585231
baseline,52,0.9,-84.93306613226392
baseline,53,1.08,-64.76392785571043
baseline,54,1.12,-79.54168336673315
baseline,55,1.08,-75.1342685370745
aftereffect,0,0.95,-60.04008016032254
aftereffect,1,1.08,-72.67334669338521
aftereffect,2,1.0,-88.13426853707514
aftereffect,3,0.85,-53.116232464928736
aftereffect,4,1.0,-88.15230460921991
aftereffect,5,1.12,-79.97595190380605
aftereffect,6,1.0,-67.82965931863724
aftereffect,7,0.95,-88.88176352705749
aftereffect,8,1.04,-70.73747494990026
aftereffect,9,1.08,-84.20040080160246
aftereffect,10,0.8,-60.28056112224525
aftereffect,11,1.16,-51.87174348697353
aftereffect,12,1.12,-89.12224448898111
aftereffect,13,1.2,-84.74949899799228
aftereffect,14,0.9,-80.08016032064317
aftereffect,15,1.08,-85.13026052104303
aftereffect,16,0.95,-63.865731462928856
aftereffect,17,0.95,-72.38476953907976
aftereffect,18,0.9,-56.86773547094634
aftereffect,19,0.95,-92.93787575150067
aftereffect,20,0.95,-63.901803607208386
aftereffect,21,1.04,-95.7715430861768
aftereffect,22,0.85,-87.74348697394626
aftereffect,23,1.04,-65.61122244488752
aftereffect,24,0.9,-94.380761523047
aftereffect,25,1.08,-99.47895791583048
aftereffect,26,1.0,-59.19839679359071
aftereffect,27,1.2,-88.48496993988248
aftereffect,28,0.9,-74.38877755510819
aftereffect,29,1.08,-86.0921843687339
aftereffect,30,1.0,-63.743486973949715
aftereffect,31,0.9,-72.8857715430896
aftereffect,32,1.12,-81.89378757515351
aftereffect,33,0.95,-96.40881763527089
aftereffect,34,1.12,-90.1803607214429
aftereffect,35,1.0,-60.45691382765273
aftereffect,36,1.12,-86.21442885771671
aftereffect,37,0.95,-87.64729458918085
aftereffect,38,1.12,-71.69338677354544
aftereffect,39,0.9,-76.14829659318193
aftereffect,40,1.04,-92.56312625251383
aftereffect,41,1.12,-76.64729458917532
aftereffect,42,1.16,-92.90180360722115
aftereffect,43,1.08,-78.73747494990154
aftereffect,44,0.8,-56.71543086172509
aftereffect,45,0.9,-85.48697394789924
aftereffect,46,0.9,-48.71743486974028
aftereffect,47,1.12,-84.18637274549009
aftereffect,48,1.0,-74.38877755511
aftereffect,49,1.08,-78.30060120240778
aftereffect,50,1.04,-93.89178356712944
aftereffect,51,1.04,-72.42484969939945
aftereffect,52,1.0,-88.5731462925858
aftereffect,53,1.08,-61.45090180360127
aftereffect,54,1.04,-97.0100200400827
aftereffect,55,1.04,-82.26853707414764
