trial,timestamp,magnification,radial,response,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38.68228,1.05,0,2,,,,pre,post,,,magn,pre,post,,0,40.67369,1.2,0,2,,,,pre,post,,,magn,pre,post
57,412.476,1.1,0,2,,,,,,,,,,,,57,391.9085,0.9,0,2,,,,,,,,,,
58,415.4185,0.85,0,2,,,,,,,,,,,,58,393.8852,1.05,0,1,,,,,,,,,,
59,418.2952,0.975,0,1,,,,,,,,,,,,59,395.8515,1.2,0,2,,,,,,,,,,
60,434.3025,0.95,0,2,,,,,,,,,,,,60,413.7095,0.975,0,1,,,,,,,,,,
61,437.0014,1.2,0,2,,,,,,,,,,,,61,415.9529,1.05,0,1,,,,,,,,,,
62,440.0554,0.95,0,2,,,,,,,,,,,,62,417.9852,0.975,0,1,,,,,,,,,,
63,446.3638,1,0,1,,,,,,,,,,,,63,420.0955,0.975,0,2,,,,,,,,,,
64,460.4023,0.85,0,2,,,,,,,,,,,,64,432.6908,1.025,0,1,,,,,,,,,,
65,464.034,0.85,0,2,,,,,,,,,,,,65,435.3783,1,0,1,,,,,,,,,,
66,467.3549,1.05,0,2,,,,,,,,,,,,66,437.6221,1.15,0,2,,,,,,,,,,
67,469.8314,1.1,0,2,,,,,,,,,,,,67,439.6985,1.025,0,1,,,,,,,,,,
68,484.6619,0.95,0,2,,,,,,,,,,,,68,453.4248,1,0,1,,,,,,,,,,
69,487.5052,0.975,0,1,,,,,,,,,,,,69,456.6229,1,0,1,,,,,,,,,,
70,490.2153,1.15,0,2,,,,,,,,,,,,70,459.6773,1.025,0,1,,,,,,,,,,
71,492.4696,1,0,2,,,,,,,,,,,,71,462.6428,0.9,0,2,,,,,,,,,,
72,506.2787,0.9,0,2,,,,,,,,,,,,72,475.4166,0.85,0,2,,,,,,,,,,
73,508.7108,1.05,0,1,,,,,,,,,,,,73,477.5597,1.025,0,1,,,,,,,,,,
74,510.8877,1.05,0,2,,,,,,,,,,,,74,484.057,1.1,0,1,,,,,,,,,,
75,514.5527,1.15,0,2,,,,,,,,,,,,75,487.0002,0.95,0,2,,,,,,,,,,
76,536.1562,1.025,0,1,,,,,,,,,,,,76,499.9761,0.95,0,2,,,,,,,,,,
77,539.1656,1.2,0,2,,,,,,,,,,,,77,502.0081,0.975,0,1,,,,,,,,,,
78,542.3306,1.025,0,2,,,,,,,,,,,,78,504.0845,1.05,0,1,,,,,,,,,,
79,545.7958,1.025,0,1,,,,,,,,,,,,79,507.606,0.975,0,2,,,,,,,,,,
0,1155.73,1.05,0,1,,,,,,,,,,,,0,1117.157,1.1,0,1,,,,,,,,,,
1,1158.784,1.025,0,1,,,,,,,,,,,,1,1120.022,1.1,0,2,,,,,,,,,,
2,1163.549,1.15,0,2,,,,,,,,,,,,2,1122.21,0.95,0,2,,,,,,,,,,
3,1166.026,1.15,0,2,,,,,,,,,,,,3,1124.998,1.15,0,1,,,,,,,,,,
4,1168.491,1.05,0,1,,,,,,,,,,,,4,1140.321,1,0,1,,,,,,,,,,
