eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
4044172,1,0.9209973000,3.8449710000,-0.0327030000,-0.0001917877,-0.0241928400,0.1583737000,-0.1388268000,0.9775710000,1,0.9209973000,3.7128910000,0.0340617500,-0.0030861820,-0.0256599400,0.1754486000,-0.1408105000,0.9743666000,-0.0009543457,-0.0015681610,-0.0248904900,0.1664904000,-0.1397872000,0.9760843000,0.0000000000,
4044181,1,0.9143635000,3.8031460000,-0.0328266300,-0.0000933991,-0.0241817000,0.1549081000,-0.1259773000,0.9798639000,1,0.9143635000,3.7747650000,0.0339711000,-0.0030032810,-0.0256180000,0.1592420000,-0.1428844000,0.9768450000,-0.0031225130,-0.0013873900,-0.0248204100,0.1568471000,-0.1335008000,0.9785584000,0.0000000000,
4044189,1,0.9143635000,3.6019740000,-0.0329288700,0.0000092621,-0.0242979300,0.1320497000,-0.1073457000,0.9854136000,1,0.9143635000,3.7786710000,0.0338917000,-0.0029238590,-0.0255935100,0.1453263000,-0.1354538000,0.9800676000,-0.0107939500,-0.0009623414,-0.0247271000,0.1364596000,-0.1166690000,0.9837515000,0.0000000000,
4044197,1,0.9143635000,3.6454470000,-0.0330755500,0.0001239166,-0.0242664200,0.1232473000,-0.1270620000,0.9842080000,1,0.9143635000,3.7933040000,0.0338021900,-0.0027831120,-0.0256186100,0.1332400000,-0.1100314000,0.9849569000,-0.0111194500,-0.0008304596,-0.0247103400,0.1265278000,-0.1214771000,0.9844968000,0.0000000000,
4044206,1,0.8645024000,3.4555820000,-0.0331496100,0.0003566437,-0.0247444600,0.1022345000,-0.1591959000,0.9819393000,1,0.8645024000,3.9553070000,0.0337293000,-0.0024619750,-0.0262830500,0.1239637000,-0.0844277800,0.9886885000,-0.0138190500,-0.0004580384,-0.0251891800,0.1085828000,-0.1376664000,0.9845089000,0.0000000000,
4044214,1,0.8645024000,2.9299010000,-0.0330629300,0.0002709503,-0.0241709400,0.1084755000,-0.2168442000,0.9701606000,1,0.8645024000,3.5921170000,0.0338576200,-0.0026145630,-0.0256846200,0.1593039000,-0.1344928000,0.9780256000,-0.0093184060,-0.0007528687,-0.0247080300,0.1266486000,-0.1878213000,0.9740037000,0.0000000000,
4044222,1,0.7521279000,3.2768400000,-0.0329854700,-0.0010683140,-0.0244364600,0.1079727000,-0.3035321000,0.9466838000,1,0.7521279000,-1.0000000000,0.0341350200,-0.0028571630,-0.0256742600,0.0000000000,0.0000000000,0.0000000000,-0.0329854700,-0.0010683140,-0.0244364600,0.1079727000,-0.3035321000,0.9466838000,0.0000000000,
4044231,1,0.7521279000,-1.0000000000,-0.0329854700,-0.0010683140,-0.0244364600,0.0000000000,0.0000000000,0.0000000000,1,0.7521279000,-1.0000000000,0.0341350200,-0.0028571630,-0.0256742600,0.0000000000,0.0000000000,0.0000000000,0.0010000000,-0.0010000000,-0.0010000000,0.5773503000,-0.5773503000,-0.5773503000,0.0000000000,
4044239,1,0.5444517000,-1.0000000000,-0.0329854700,-0.0010683140,-0.0244364600,0.0000000000,0.0000000000,0.0000000000,1,0.5444517000,-1.0000000000,0.0341350200,-0.0028571630,-0.0256742600,0.0000000000,0.0000000000,0.0000000000,0.0010000000,-0.0010000000,-0.0010000000,0.5773503000,-0.5773503000,-0.5773503000,0.0000000000,
4044247,1,0.5444517000,-1.0000000000,-0.0329854700,-0.0010683140,-0.0244364600,0.0000000000,0.0000000000,0.0000000000,1,0.5444517000,-1.0000000000,0.0341350200,-0.0028571630,-0.0256742600,0.0000000000,0.0000000000,0.0000000000,0.0010000000,-0.0010000000,-0.0010000000,0.5773503000,-0.5773503000,-0.5773503000,0.0000000000,
