trial,timestamp,magnification,radial,response
0,84.07465,0.95,0,1
1,99.25658,0.95,0,1
2,105.4439,1.05,0,1
3,110.785,1,0,0
4,115.229,1.05,0,1
5,119.6147,1,0,1
6,164.1405,1.05,0,1
7,168.7896,1.05,0,0
8,173.3489,1,0,1
9,177.567,0.95,0,0
10,181.8304,1,0,1
11,186.0711,0.95,0,1
12,216.8179,1.05,0,1
13,220.649,1,0,1
14,224.1377,1.05,0,0
15,227.8706,1,0,0
16,231.978,0.95,0,0
17,235.7202,0.95,0,0
18,265.3423,1.05,0,0
19,269.8513,0.95,0,0
20,273.7397,1,0,1
21,278.6918,0.95,0,0
22,283.468,1,0,0
23,287.2229,1.05,0,0
0,369.4709,1.05,0,1
1,374.0184,1.05,0,1
2,378.1554,0.95,0,0
3,382.9566,0.95,0,1
4,395.9812,0.95,0,1
5,400.6511,1.05,0,0
6,430.1909,0.95,0,0
7,435.2842,1.05,0,1
8,440.6149,1,0,1
9,449.2455,1,0,1
10,454.0535,1.05,0,1
11,459.9317,0.95,0,0
12,489.7827,1.05,0,1
13,494.4094,1.05,0,1
14,502.0723,1,0,1
15,507.437,1,0,1
16,513.3326,0.95,0,0
17,518.0861,1,0,1
18,549.7885,1,0,1
19,554.8229,1.05,0,1
20,561.4819,0.95,0,0
21,566.9293,0.95,0,0
22,571.4331,1,0,1
23,575.9222,1,0,1
