unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
14.99271,3339610,True,1.0000000000,3.4114690000,-0.0364731300,-0.0033470610,-0.0285611700,-0.2933703000,-0.0098268220,0.9559484000,True,1.0000000000,3.2650450000,0.0328152000,-0.0021307370,-0.0283727400,-0.3120477000,-0.0578318300,0.9483047000,0.0328145000,-0.0021307530,-0.0283727400,-0.3120477000,-0.0578318300,0.9483047000,0.0000000000,
15.06247,3339677,True,1.0000000000,3.5499570000,-0.0371316600,-0.0035179600,-0.0287992300,-0.3687771000,-0.0630803000,0.9273750000,True,1.0000000000,3.1621700000,0.0323248800,-0.0022637630,-0.0285057500,-0.4205491000,-0.0704653600,0.9045292000,0.0323247400,-0.0022637630,-0.0285057500,-0.4205491000,-0.0704653600,0.9045292000,0.0000000000,
15.08889,3339877,True,1.0000000000,3.5760960000,-0.0371974500,-0.0035444030,-0.0288558100,-0.4072472000,-0.0814372400,0.9096800000,True,1.0000000000,3.1809080000,0.0324289400,-0.0022772070,-0.0284794200,-0.4121426000,-0.0766606600,0.9078886000,0.0324262700,-0.0022772520,-0.0284794300,-0.4121426000,-0.0766606600,0.9078886000,0.0000000000,
15.17481,3339969,True,1.0000000000,3.3004760000,-0.0360110800,-0.0021872410,-0.0284715300,-0.1874872000,0.2203093000,0.9572421000,True,1.0000000000,3.1432650000,0.0335458600,-0.0010246280,-0.0283280400,-0.1982150000,0.2012515000,0.9592751000,0.0333837200,-0.0010273440,-0.0283283700,-0.1981838000,0.2012967000,0.9592720000,0.0000000000,
15.20095,3340052,True,1.0000000000,3.2712550000,-0.0361451900,-0.0022242280,-0.0284999700,-0.1535208000,0.2360720000,0.9595318000,True,1.0000000000,2.9648740000,0.0336790900,-0.0010705870,-0.0282651200,-0.2072633000,0.1976348000,0.9581140000,0.0290282800,-0.0011474310,-0.0282807600,-0.2037222000,0.2002127000,0.9583383000,0.0000000000,
15.20815,3340085,True,1.0000000000,3.2221220000,-0.0361617300,-0.0022365270,-0.0284948300,-0.1549689000,0.2277537000,0.9613079000,True,1.0000000000,2.9158940000,0.0337078100,-0.0010746160,-0.0282733900,-0.2067431000,0.2032335000,0.9570546000,0.0276726700,-0.0011749880,-0.0282925300,-0.2022890000,0.2053713000,0.9575499000,0.0000000000,
15.23031,3340119,True,1.0000000000,3.1056520000,-0.0361696200,-0.0022434240,-0.0284966800,-0.1520709000,0.2285794000,0.9615747000,True,1.0000000000,2.8298950000,0.0337187100,-0.0010874940,-0.0282585200,-0.2044999000,0.1975876000,0.9587173000,0.0263332400,-0.0012096560,-0.0282836800,-0.1990057000,0.2008978000,0.9591855000,0.0000000000,
15.30246,3340127,True,1.0000000000,3.1422270000,-0.0361706600,-0.0022438200,-0.0284972700,-0.1483014000,0.2316914000,0.9614186000,True,1.0000000000,2.8373410000,0.0337204700,-0.0011020970,-0.0282303900,-0.1960018000,0.1957882000,0.9608591000,0.0222399300,-0.0012896420,-0.0282742300,-0.1882031000,0.2017377000,0.9611875000,0.0000000000,
15.30843,3340152,True,1.0000000000,3.1611940000,-0.0358482200,-0.0015926060,-0.0286107200,-0.1169287000,0.3575000000,0.9265643000,True,1.0000000000,2.9633030000,0.0339432100,-0.0004981690,-0.0284461800,-0.1284799000,0.3137992000,0.9407566000,0.0173815600,-0.0007578888,-0.0284852300,-0.1257652000,0.3242397000,0.9375776000,0.0000000000,
15.33071,3340219,True,1.0000000000,3.0653530000,-0.0357137200,-0.0007598877,-0.0289361400,-0.0796360300,0.5050991000,0.8593795000,True,1.0000000000,2.8122560000,0.0340264600,0.0003422241,-0.0287967200,-0.1147631000,0.4690472000,0.8756850000,0.0149509600,0.0000407715,-0.0288348600,-0.1051799000,0.4790395000,0.8714691000,0.0000000000,
